State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Alaska,1/1/00,"1,757",12/25/99,"14,064","250,936",5.6,,,
Alaska,1/8/00,"3,580",1/1/00,"16,098","251,195",6.41,,,
Alaska,1/15/00,"2,626",1/8/00,"16,187","251,195",6.44,,,
Alaska,1/22/00,"1,934",1/15/00,"16,965","251,195",6.75,,,
Alaska,1/29/00,"2,069",1/22/00,"17,091","251,195",6.8,,,
Alaska,2/5/00,"2,052",1/29/00,"16,442","251,195",6.55,,,
Alaska,2/12/00,"1,897",2/5/00,"16,336","251,195",6.5,,,
Alaska,2/19/00,"1,810",2/12/00,"16,210","251,195",6.45,,,
Alaska,2/26/00,"1,584",2/19/00,"15,567","251,195",6.2,,,
Alaska,3/4/00,"1,896",2/26/00,"15,983","251,195",6.36,,,
Alaska,3/11/00,"2,174",3/4/00,"15,263","251,195",6.08,,,
Alaska,3/18/00,"1,956",3/11/00,"15,462","251,195",6.16,,,
Alaska,3/25/00,"1,904",3/18/00,"14,893","251,195",5.93,,,
Alaska,4/1/00,"2,029",3/25/00,"14,962","251,195",5.96,,,
Alaska,4/8/00,"2,287",4/1/00,"14,017","251,844",5.57,,,
Alaska,4/15/00,"1,808",4/8/00,"14,829","251,844",5.89,,,
Alaska,4/22/00,"1,825",4/15/00,"13,693","251,844",5.44,,,
Alaska,4/29/00,"1,701",4/22/00,"13,702","251,844",5.44,,,
Alaska,5/6/00,"1,774",4/29/00,"12,879","251,844",5.11,,,
Alaska,5/13/00,"1,592",5/6/00,"12,979","251,844",5.15,,,
Alaska,5/20/00,"1,642",5/13/00,"11,696","251,844",4.64,,,
Alaska,5/27/00,"1,588",5/20/00,"11,749","251,844",4.67,,,
Alaska,6/3/00,"1,677",5/27/00,"10,816","251,844",4.29,,,
Alaska,6/10/00,"1,807",6/3/00,"11,662","251,844",4.63,,,
Alaska,6/17/00,"1,477",6/10/00,"11,299","251,844",4.49,,,
Alaska,6/24/00,"1,354",6/17/00,"10,935","251,844",4.34,,,
Alaska,7/1/00,"1,474",6/24/00,"9,751","251,844",3.87,,,
Alaska,7/8/00,"1,262",7/1/00,"9,322","252,228",3.7,,,
Alaska,7/15/00,"1,439",7/8/00,"9,671","252,228",3.83,,,
Alaska,7/22/00,"1,376",7/15/00,"9,013","252,228",3.57,,,
Alaska,7/29/00,"1,310",7/22/00,"8,838","252,228",3.5,,,
Alaska,8/5/00,"1,382",7/29/00,"8,741","252,228",3.47,,,
Alaska,8/12/00,"1,361",8/5/00,"8,513","252,228",3.38,,,
Alaska,8/19/00,"1,336",8/12/00,"8,697","252,228",3.45,,,
Alaska,8/26/00,"1,336",8/19/00,"8,526","252,228",3.38,,,
Alaska,9/2/00,"1,418",8/26/00,"8,411","252,228",3.33,,,
Alaska,9/9/00,"1,574",9/2/00,"7,886","252,228",3.13,,,
Alaska,9/16/00,"1,626",9/9/00,"8,196","252,228",3.25,,,
Alaska,9/23/00,"1,543",9/16/00,"8,552","252,228",3.39,,,
Alaska,9/30/00,"1,648",9/23/00,"8,405","252,228",3.33,,,
Alaska,10/7/00,"1,946",9/30/00,"8,890","252,228",3.52,,,
Alaska,10/14/00,"1,713",10/7/00,"8,543","253,177",3.37,,,
Alaska,10/21/00,"1,722",10/14/00,"10,570","253,177",4.17,,,
Alaska,10/28/00,"1,937",10/21/00,"9,307","253,203",3.68,,,
Alaska,11/4/00,"2,266",10/28/00,"11,361","253,203",4.49,,,
Alaska,11/11/00,"2,054",11/4/00,"10,689","253,203",4.22,,,
Alaska,11/18/00,"2,149",11/11/00,"12,890","253,203",5.09,,,
Alaska,11/25/00,"1,575",11/18/00,"11,660","253,203",4.61,,,
Alaska,12/2/00,"1,940",11/25/00,"14,208","253,203",5.61,,,
Alaska,12/9/00,"1,939",12/2/00,"12,735","253,203",5.03,,,
Alaska,12/16/00,"1,855",12/9/00,"14,491","253,203",5.72,,,
Alaska,12/23/00,"2,368",12/16/00,"13,472","253,203",5.32,,,
Alaska,12/30/00,"1,860",12/23/00,"14,513","253,203",5.73,,,
Alaska,1/6/01,"2,670",12/30/00,"15,482","253,203",6.11,,,
Alaska,1/13/01,"2,552",1/6/01,"15,346","254,739",6.02,,,
Alaska,1/20/01,"1,778",1/13/01,"17,334","254,739",6.8,,,
Alaska,1/27/01,"1,901",1/20/01,"16,324","254,739",6.41,,,
Alaska,2/3/01,"1,835",1/27/01,"17,348","254,739",6.81,,,
Alaska,2/10/01,"1,810",2/3/01,"15,949","254,739",6.26,,,
Alaska,2/17/01,"1,645",2/10/01,"16,513","254,739",6.48,,,
Alaska,2/24/01,"1,618",2/17/01,"15,388","254,739",6.04,,,
Alaska,3/3/01,"1,732",2/24/01,"16,144","254,739",6.34,,,
Alaska,3/10/01,"2,011",3/3/01,"15,173","254,739",5.96,,,
Alaska,3/17/01,"1,857",3/10/01,"16,064","254,739",6.31,,,
Alaska,3/24/01,"1,788",3/17/01,"14,865","254,739",5.84,,,
Alaska,3/31/01,"1,762",3/24/01,"14,845","254,739",5.83,,,
Alaska,4/7/01,"2,008",3/31/01,"13,547","254,739",5.32,,,
Alaska,4/14/01,"1,756",4/7/01,"13,722","256,677",5.35,,,
Alaska,4/21/01,"1,559",4/14/01,"14,348","256,677",5.59,,,
Alaska,4/28/01,"1,615",4/21/01,"13,349","256,677",5.2,,,
Alaska,5/5/01,"1,669",4/28/01,"13,231","256,677",5.15,,,
Alaska,5/12/01,"1,558",5/5/01,"12,451","256,677",4.85,,,
Alaska,5/19/01,"1,455",5/12/01,"12,792","256,677",4.98,,,
Alaska,5/26/01,"1,443",5/19/01,"11,351","256,677",4.42,,,
Alaska,6/2/01,"1,342",5/26/01,"11,617","256,677",4.53,,,
Alaska,6/9/01,"1,525",6/2/01,"10,546","256,677",4.11,,,
Alaska,6/16/01,"1,365",6/9/01,"11,240","256,677",4.38,,,
Alaska,6/23/01,"1,363",6/16/01,"10,829","256,677",4.22,,,
Alaska,6/30/01,"1,363",6/23/01,"10,125","256,677",3.94,,,
Alaska,7/7/01,"1,330",6/30/01,"8,897","256,677",3.47,,,
Alaska,7/14/01,"1,318",7/7/01,"9,213","258,428",3.57,,,
Alaska,7/21/01,"1,175",7/14/01,"8,889","258,428",3.44,,,
Alaska,7/28/01,"1,164",7/21/01,"8,761","258,428",3.39,,,
Alaska,8/4/01,"1,203",7/28/01,"8,671","258,428",3.36,,,
Alaska,8/11/01,"1,162",8/4/01,"8,360","258,428",3.23,,,
Alaska,8/18/01,"1,108",8/11/01,"8,373","258,428",3.24,,,
Alaska,8/25/01,"1,143",8/18/01,"8,085","258,428",3.13,,,
Alaska,9/1/01,"1,113",8/25/01,"8,053","258,428",3.12,,,
Alaska,9/8/01,"1,290",9/1/01,"7,383","258,428",2.86,,,
Alaska,9/15/01,"1,490",9/8/01,"7,306","258,428",2.83,,,
Alaska,9/22/01,"1,738",9/15/01,"7,603","258,428",2.94,,,
Alaska,9/29/01,"1,795",9/22/01,"8,404","258,428",3.25,,,
Alaska,10/6/01,"1,946",9/29/01,"8,567","258,428",3.32,,,
Alaska,10/13/01,"1,765",10/6/01,"8,587","260,304",3.3,,,
Alaska,10/20/01,"1,846",10/13/01,"9,779","260,304",3.76,,,
Alaska,10/27/01,"2,327",10/20/01,"9,438","260,304",3.63,,,
Alaska,11/3/01,"2,325",10/27/01,"10,857","260,304",4.17,,,
Alaska,11/10/01,"2,170",11/3/01,"11,033","260,304",4.24,,,
Alaska,11/17/01,"1,943",11/10/01,"12,830","260,304",4.93,,,
Alaska,11/24/01,"1,620",11/17/01,"12,265","260,304",4.71,,,
Alaska,12/1/01,"2,158",11/24/01,"14,585","260,304",5.6,,,
Alaska,12/8/01,"2,081",12/1/01,"13,564","260,304",5.21,,,
Alaska,12/15/01,"1,689",12/8/01,"15,136","260,304",5.81,,,
Alaska,12/22/01,"2,030",12/15/01,"14,410","260,304",5.54,,,
Alaska,12/29/01,"1,894",12/22/01,"15,056","260,304",5.78,,,
Alaska,1/5/02,"2,448",12/29/01,"15,951","260,304",6.13,,,
Alaska,1/12/02,"2,701",1/5/02,"17,025","262,388",6.49,,,
Alaska,1/19/02,"2,163",1/12/02,"15,969","262,388",6.09,,,
Alaska,1/26/02,"1,892",1/19/02,"19,120","262,388",7.29,,,
Alaska,2/2/02,"1,930",1/26/02,"16,823","262,388",6.41,,,
Alaska,2/9/02,"1,191",2/2/02,"18,672","262,388",7.12,,,
Alaska,2/16/02,"1,766",2/9/02,"16,221","262,388",6.18,,,
Alaska,2/23/02,"1,764",2/16/02,"18,427","262,388",7.02,,,
Alaska,3/2/02,"1,875",2/23/02,"16,530","262,388",6.3,,,
Alaska,3/9/02,"1,931",3/2/02,"17,825","262,388",6.79,,,
Alaska,3/16/02,"1,798",3/9/02,"15,923","262,388",6.07,,,
Alaska,3/23/02,"1,905",3/16/02,"15,874","262,388",6.05,,,
Alaska,3/30/02,"3,446",3/23/02,"15,854","262,388",6.04,,,
Alaska,4/6/02,"3,609",3/30/02,"14,468","262,388",5.51,,,
Alaska,4/13/02,"2,439",4/6/02,"14,655","264,401",5.54,,,
Alaska,4/20/02,"1,988",4/13/02,"15,323","264,401",5.8,,,
Alaska,4/27/02,"1,899",4/20/02,"15,918","264,401",6.02,,,
Alaska,5/4/02,"1,710",4/27/02,"15,423","264,401",5.83,,,
Alaska,5/11/02,"1,728",5/4/02,"14,648","264,401",5.54,,,
Alaska,5/18/02,"1,463",5/11/02,"13,517","264,401",5.11,,,
Alaska,5/25/02,"1,798",5/18/02,"13,417","264,401",5.07,,,
Alaska,6/1/02,"1,487",5/25/02,"11,785","264,401",4.46,,,
Alaska,6/8/02,"1,798",6/1/02,"13,037","264,401",4.93,,,
