State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Arizona,1/1/00,"2,237",12/25/99,"16,992","2,046,519",0.83,,,
Arizona,1/8/00,"3,941",1/1/00,"17,586","2,066,450",0.85,,,
Arizona,1/15/00,"3,890",1/8/00,"17,712","2,066,450",0.86,,,
Arizona,1/22/00,"2,370",1/15/00,"17,513","2,066,450",0.85,,,
Arizona,1/29/00,"2,950",1/22/00,"17,487","2,066,450",0.85,,,
Arizona,2/5/00,"3,011",1/29/00,"17,318","2,066,450",0.84,,,
Arizona,2/12/00,"3,109",2/5/00,"17,356","2,066,450",0.84,,,
Arizona,2/19/00,"2,977",2/12/00,"17,286","2,066,450",0.84,,,
Arizona,2/26/00,"2,307",2/19/00,"17,533","2,066,450",0.85,,,
Arizona,3/4/00,"3,027",2/26/00,"17,581","2,066,450",0.85,,,
Arizona,3/11/00,"3,201",3/4/00,"17,794","2,066,450",0.86,,,
Arizona,3/18/00,"3,308",3/11/00,"17,774","2,066,450",0.86,,,
Arizona,3/25/00,"2,980",3/18/00,"17,723","2,066,450",0.86,,,
Arizona,4/1/00,"3,387",3/25/00,"17,872","2,066,450",0.86,,,
Arizona,4/8/00,"5,398",4/1/00,"18,207","2,084,791",0.87,,,
Arizona,4/15/00,"4,784",4/8/00,"20,368","2,084,791",0.98,,,
Arizona,4/22/00,"3,305",4/15/00,"21,171","2,084,791",1.02,,,
Arizona,4/29/00,"3,091",4/22/00,"21,739","2,084,791",1.04,,,
Arizona,5/6/00,"3,454",4/29/00,"22,055","2,084,791",1.06,,,
Arizona,5/13/00,"3,198",5/6/00,"22,357","2,084,791",1.07,,,
Arizona,5/20/00,"2,540",5/13/00,"22,103","2,084,791",1.06,,,
Arizona,5/27/00,"3,121",5/20/00,"21,761","2,084,791",1.04,,,
Arizona,6/3/00,"3,408",5/27/00,"21,580","2,084,791",1.04,,,
Arizona,6/10/00,"3,831",6/3/00,"22,139","2,084,791",1.06,,,
Arizona,6/17/00,"4,055",6/10/00,"22,856","2,084,791",1.1,,,
Arizona,6/24/00,"3,230",6/17/00,"23,809","2,084,791",1.14,,,
Arizona,7/1/00,"3,461",6/24/00,"24,472","2,084,791",1.17,,,
Arizona,7/8/00,"4,792",7/1/00,"24,400","2,067,812",1.18,,,
Arizona,7/15/00,"4,536",7/8/00,"27,013","2,067,812",1.31,,,
Arizona,7/22/00,"3,102",7/15/00,"27,562","2,067,812",1.33,,,
Arizona,7/29/00,"2,940",7/22/00,"27,874","2,067,812",1.35,,,
Arizona,8/5/00,"3,195",7/29/00,"27,599","2,067,812",1.33,,,
Arizona,8/12/00,"3,049",8/5/00,"26,951","2,067,812",1.3,,,
Arizona,8/19/00,"3,226",8/12/00,"26,514","2,067,812",1.28,,,
Arizona,8/26/00,"2,527",8/19/00,"25,475","2,067,812",1.23,,,
Arizona,9/2/00,"2,587",8/26/00,"24,098","2,067,812",1.17,,,
Arizona,9/9/00,"2,371",9/2/00,"22,663","2,067,812",1.1,,,
Arizona,9/16/00,"2,812",9/9/00,"21,799","2,067,812",1.05,,,
Arizona,9/23/00,"2,198",9/16/00,"21,046","2,067,812",1.02,,,
Arizona,9/30/00,"2,501",9/23/00,"20,253","2,067,812",0.98,,,
Arizona,10/7/00,"3,565",9/30/00,"18,935","2,085,110",0.91,,,
Arizona,10/14/00,"3,052",10/7/00,"19,242","2,085,110",0.92,,,
Arizona,10/21/00,"2,762",10/14/00,"18,404","2,085,110",0.88,,,
Arizona,10/28/00,"3,092",10/21/00,"18,284","2,085,110",0.88,,,
Arizona,11/4/00,"3,368",10/28/00,"18,172","2,085,110",0.87,,,
Arizona,11/11/00,"3,233",11/4/00,"17,548","2,085,110",0.84,,,
Arizona,11/18/00,"3,956",11/11/00,"17,619","2,085,110",0.84,,,
Arizona,11/25/00,"2,155",11/18/00,"17,429","2,085,110",0.84,,,
Arizona,12/2/00,"3,160",11/25/00,"17,938","2,085,110",0.86,,,
Arizona,12/9/00,"3,219",12/2/00,"17,034","2,085,110",0.82,,,
Arizona,12/16/00,"3,153",12/9/00,"16,836","2,085,110",0.81,,,
Arizona,12/23/00,"2,734",12/16/00,"17,016","2,085,110",0.82,,,
Arizona,12/30/00,"2,466",12/23/00,"17,197","2,085,110",0.82,,,
Arizona,1/6/01,"2,933",12/30/00,"17,871","2,085,110",0.86,,,
Arizona,1/13/01,"4,394",1/6/01,"18,189","2,133,503",0.85,,,
Arizona,1/20/01,"2,996",1/13/01,"18,663","2,133,503",0.87,,,
Arizona,1/27/01,"3,221",1/20/01,"19,454","2,133,503",0.91,,,
Arizona,2/3/01,"3,477",1/27/01,"19,470","2,133,503",0.91,,,
Arizona,2/10/01,"3,865",2/3/01,"19,738","2,133,503",0.93,,,
Arizona,2/17/01,"2,969",2/10/01,"20,363","2,133,503",0.95,,,
Arizona,2/24/01,"3,469",2/17/01,"20,510","2,133,503",0.96,,,
Arizona,3/3/01,"4,030",2/24/01,"20,988","2,133,503",0.98,,,
Arizona,3/10/01,"5,143",3/3/01,"21,690","2,133,503",1.02,,,
Arizona,3/17/01,"3,813",3/10/01,"22,303","2,133,503",1.05,,,
Arizona,3/24/01,"3,635",3/17/01,"22,350","2,133,503",1.05,,,
Arizona,3/31/01,"4,397",3/24/01,"22,614","2,133,503",1.06,,,
Arizona,4/7/01,"6,978",3/31/01,"23,655","2,133,503",1.11,,,
Arizona,4/14/01,"6,595",4/7/01,"26,034","2,157,438",1.21,,,
Arizona,4/21/01,"5,267",4/14/01,"28,856","2,157,438",1.34,,,
Arizona,4/28/01,"4,838",4/21/01,"29,244","2,157,438",1.36,,,
Arizona,5/5/01,"5,095",4/28/01,"29,735","2,157,438",1.38,,,
Arizona,5/12/01,"4,511",5/5/01,"32,554","2,157,438",1.51,,,
Arizona,5/19/01,"4,762",5/12/01,"31,136","2,157,438",1.44,,,
Arizona,5/26/01,"4,403",5/19/01,"32,777","2,157,438",1.52,,,
Arizona,6/2/01,"5,211",5/26/01,"32,200","2,157,438",1.49,,,
Arizona,6/9/01,"5,217",6/2/01,"33,481","2,157,438",1.55,,,
Arizona,6/16/01,"4,958",6/9/01,"34,827","2,157,438",1.61,,,
Arizona,6/23/01,"4,251",6/16/01,"35,170","2,157,438",1.63,,,
Arizona,6/30/01,"4,167",6/23/01,"35,491","2,157,438",1.65,,,
Arizona,7/7/01,"6,374",6/30/01,"35,594","2,157,438",1.65,,,
Arizona,7/14/01,"5,781",7/7/01,"39,131","2,172,727",1.8,,,
Arizona,7/21/01,"4,730",7/14/01,"39,711","2,172,727",1.83,,,
Arizona,7/28/01,"4,419",7/21/01,"39,866","2,172,727",1.83,,,
Arizona,8/4/01,"4,876",7/28/01,"39,275","2,172,727",1.81,,,
Arizona,8/11/01,"4,668",8/4/01,"40,879","2,172,727",1.88,,,
Arizona,8/18/01,"4,669",8/11/01,"40,038","2,172,727",1.84,,,
Arizona,8/25/01,"3,963",8/18/01,"38,833","2,172,727",1.79,,,
Arizona,9/1/01,"3,999",8/25/01,"38,494","2,172,727",1.77,,,
Arizona,9/8/01,"4,195",9/1/01,"36,937","2,172,727",1.7,,,
Arizona,9/15/01,"4,120",9/8/01,"37,379","2,172,727",1.72,,,
Arizona,9/22/01,"4,282",9/15/01,"35,942","2,172,727",1.65,,,
Arizona,9/29/01,"4,657",9/22/01,"35,623","2,172,727",1.64,,,
Arizona,10/6/01,"5,623",9/29/01,"35,571","2,172,727",1.64,,,
Arizona,10/13/01,"5,301",10/6/01,"35,079","2,177,760",1.61,,,
Arizona,10/20/01,"5,047",10/13/01,"36,542","2,177,760",1.68,,,
Arizona,10/27/01,"5,105",10/20/01,"36,899","2,177,760",1.69,,,
Arizona,11/3/01,"5,711",10/27/01,"37,673","2,177,760",1.73,,,
Arizona,11/10/01,"6,349",11/3/01,"37,826","2,177,760",1.74,,,
Arizona,11/17/01,"5,332",11/10/01,"38,514","2,177,760",1.77,,,
Arizona,11/24/01,"3,786",11/17/01,"38,690","2,177,760",1.78,,,
Arizona,12/1/01,"5,544",11/24/01,"39,739","2,177,760",1.82,,,
Arizona,12/8/01,"5,922",12/1/01,"39,516","2,177,760",1.81,,,
Arizona,12/15/01,"5,209",12/8/01,"40,240","2,177,760",1.85,,,
Arizona,12/22/01,"4,708",12/15/01,"40,964","2,177,760",1.88,,,
Arizona,12/29/01,"3,354",12/22/01,"40,643","2,177,760",1.87,,,
Arizona,1/5/02,"4,427",12/29/01,"42,169","2,177,760",1.94,,,
Arizona,1/12/02,"6,664",1/5/02,"43,147","2,196,152",1.96,,,
Arizona,1/19/02,"6,133",1/12/02,"43,410","2,196,152",1.98,,,
Arizona,1/26/02,"4,358",1/19/02,"43,492","2,196,152",1.98,,,
Arizona,2/2/02,"5,162",1/26/02,"43,987","2,196,152",2,,,
Arizona,2/9/02,"5,129",2/2/02,"44,393","2,196,152",2.02,,,
Arizona,2/16/02,"4,881",2/9/02,"44,128","2,196,152",2.01,,,
Arizona,2/23/02,"3,872",2/16/02,"43,807","2,196,152",1.99,,,
Arizona,3/2/02,"5,013",2/23/02,"43,584","2,196,152",1.98,,,
Arizona,3/9/02,"5,683",3/2/02,"43,435","2,196,152",1.98,,,
Arizona,3/16/02,"5,025",3/9/02,"43,207","2,196,152",1.97,,,
Arizona,3/23/02,"4,272",3/16/02,"43,202","2,196,152",1.97,,,
Arizona,3/30/02,"4,451",3/23/02,"39,511","2,196,152",1.8,,,
Arizona,4/6/02,"5,812",3/30/02,"50,385","2,196,152",2.29,,,
Arizona,4/13/02,"7,818",4/6/02,"39,185","2,199,326",1.78,,,
Arizona,4/20/02,"5,769",4/13/02,"32,955","2,199,326",1.5,,,
Arizona,4/27/02,"5,426",4/20/02,"39,016","2,199,326",1.77,,,
Arizona,5/4/02,"4,953",4/27/02,"40,596","2,199,326",1.85,,,
Arizona,5/11/02,"5,163",5/4/02,"39,975","2,199,326",1.82,,,
Arizona,5/18/02,"4,662",5/11/02,"34,494","2,199,326",1.57,,,
Arizona,5/25/02,"4,632",5/18/02,"39,168","2,199,326",1.78,,,
Arizona,6/1/02,"4,947",5/25/02,"37,331","2,199,326",1.7,,,
Arizona,6/8/02,"5,979",6/1/02,"38,060","2,199,326",1.73,,,
Arizona,6/15/02,"6,134",6/8/02,"38,388","2,199,326",1.75,,,
Arizona,6/22/02,"5,172",6/15/02,"39,021","2,199,326",1.77,,,
Arizona,6/29/02,"6,480",6/22/02,"43,215","2,199,326",1.96,,,
Arizona,7/6/02,"5,130",6/29/02,"43,152","2,199,326",1.96,,,
Arizona,7/13/02,"7,030",7/6/02,"54,377","2,199,326",2.47,,,
Arizona,7/20/02,"5,361",7/13/02,"46,137","2,199,326",2.1,,,
Arizona,7/27/02,"4,954",7/20/02,"47,006","2,199,326",2.14,,,
Arizona,8/3/02,"4,934",7/27/02,"47,230","2,199,326",2.15,,,
Arizona,8/10/02,"4,857",8/3/02,"47,227","2,199,326",2.15,,,
Arizona,8/17/02,"4,995",8/10/02,"45,591","2,199,326",2.07,,,
Arizona,8/24/02,"4,236",8/17/02,"44,275","2,199,326",2.01,,,
Arizona,8/31/02,"4,280",8/24/02,"43,297","2,199,326",1.97,,,
Arizona,9/7/02,"4,357",8/31/02,"41,596","2,199,326",1.89,,,
Arizona,9/14/02,"4,737",9/7/02,"40,849","2,199,326",1.86,,,
Arizona,9/21/02,"4,358",9/14/02,"39,194","2,199,326",1.78,,,
Arizona,9/28/02,"4,435",9/21/02,"38,569","2,199,326",1.75,,,
Arizona,10/5/02,"5,074",9/28/02,"37,586","2,199,326",1.71,,,
Arizona,10/12/02,"5,253",10/5/02,"37,733","2,199,326",1.72,,,
Arizona,10/19/02,"4,924",10/12/02,"32,581","2,199,326",1.48,,,
Arizona,10/26/02,"4,334",10/19/02,"35,841","2,199,326",1.63,,,
Arizona,11/2/02,"4,780",10/26/02,"35,857","2,199,326",1.63,,,
Arizona,11/9/02,"5,416",11/2/02,"35,938","2,199,326",1.63,,,
Arizona,11/16/02,"4,758",11/9/02,"35,990","2,199,326",1.64,,,
Arizona,11/23/02,"4,609",11/16/02,"35,082","2,199,326",1.6,,,
Arizona,11/30/02,"3,397",11/23/02,"34,302","2,199,326",1.56,,,
Arizona,12/7/02,"5,116",11/30/02,"35,248","2,199,326",1.6,,,
Arizona,12/14/02,"4,817",12/7/02,"35,246","2,199,326",1.6,,,
Arizona,12/21/02,"3,981",12/14/02,"35,180","2,199,326",1.6,,,
Arizona,12/28/02,"3,145",12/21/02,"34,674","2,199,326",1.58,,,
Arizona,1/4/03,"3,554",12/28/02,"35,319","2,199,326",1.61,,,
Arizona,1/11/03,"5,744",1/4/03,"36,213","2,260,127",1.6,,,
Arizona,1/18/03,"5,721",1/11/03,"34,116","2,260,127",1.51,,,
Arizona,1/25/03,"3,871",1/18/03,"36,427","2,260,127",1.61,,,
Arizona,2/1/03,"4,773",1/25/03,"36,469","2,260,127",1.61,,,
Arizona,2/8/03,"5,179",2/1/03,"36,821","2,260,127",1.63,,,
Arizona,2/15/03,"5,099",2/8/03,"33,718","2,260,127",1.49,,,
Arizona,2/22/03,"3,654",2/15/03,"36,874","2,260,127",1.63,,,
Arizona,3/1/03,"4,734",2/22/03,"36,741","2,260,127",1.63,,,
Arizona,3/8/03,"5,431",3/1/03,"37,093","2,260,127",1.64,,,
Arizona,3/15/03,"5,242",3/8/03,"37,535","2,260,127",1.66,,,
Arizona,3/22/03,"4,340",3/15/03,"37,255","2,260,127",1.65,,,
Arizona,3/29/03,"5,594",3/22/03,"37,311","2,260,127",1.65,,,
Arizona,4/5/03,"6,362",3/29/03,"38,066","2,260,127",1.68,,,
Arizona,4/12/03,"7,961",4/5/03,"38,899","2,268,000",1.72,,,
Arizona,4/19/03,"5,668",4/12/03,"39,992","2,268,000",1.76,,,
Arizona,4/26/03,"5,251",4/19/03,"41,391","2,268,000",1.83,,,
Arizona,5/3/03,"5,181",4/26/03,"42,224","2,268,000",1.86,,,
Arizona,5/10/03,"5,309",5/3/03,"42,308","2,268,000",1.87,,,
Arizona,5/17/03,"5,248",5/10/03,"40,766","2,268,000",1.8,,,
Arizona,5/24/03,"4,824",5/17/03,"41,135","2,268,000",1.81,,,
Arizona,5/31/03,"5,003",5/24/03,"40,988","2,268,000",1.81,,,
Arizona,6/7/03,"6,389",5/31/03,"42,296","2,268,000",1.86,,,
Arizona,6/14/03,"5,998",6/7/03,"43,430","2,268,000",1.91,,,
Arizona,6/21/03,"5,283",6/14/03,"44,005","2,268,000",1.94,,,
Arizona,6/28/03,"4,822",6/21/03,"44,641","2,268,000",1.97,,,
Arizona,7/5/03,"4,827",6/28/03,"43,435","2,268,000",1.92,,,
Arizona,7/12/03,"7,113",7/5/03,"44,901","2,247,000",2,,,
Arizona,7/19/03,"5,515",7/12/03,"42,082","2,247,000",1.87,,,
Arizona,7/26/03,"4,341",7/19/03,"46,307","2,247,000",2.06,,,
Arizona,8/2/03,"4,612",7/26/03,"46,973","2,247,000",2.09,,,
Arizona,8/9/03,"4,787",8/2/03,"46,191","2,247,000",2.06,,,
Arizona,8/16/03,"4,506",8/9/03,"44,630","2,247,000",1.99,,,
Arizona,8/23/03,"3,584",8/16/03,"42,856","2,247,000",1.91,,,
Arizona,8/30/03,"3,842",8/23/03,"41,048","2,247,000",1.83,,,
Arizona,9/6/03,"3,718",8/30/03,"39,288","2,247,000",1.75,,,
Arizona,9/13/03,"4,432",9/6/03,"38,150","2,247,000",1.7,,,
Arizona,9/20/03,"3,812",9/13/03,"42,112","2,247,000",1.87,,,
Arizona,9/27/03,"4,346",9/20/03,"41,326","2,247,000",1.84,,,
Arizona,10/4/03,"4,415",9/27/03,"41,050","2,247,000",1.83,,,
Arizona,10/11/03,"4,915",10/4/03,"39,312","2,310,000",1.7,,,
Arizona,10/18/03,"4,328",10/11/03,"34,503","2,310,000",1.49,,,
Arizona,10/25/03,"3,940",10/18/03,"38,778","2,310,000",1.68,,,
Arizona,11/1/03,"4,004",10/25/03,"38,174","2,310,000",1.65,,,
Arizona,11/8/03,"4,923",11/1/03,"37,402","2,310,000",1.62,,,
Arizona,11/15/03,"4,135",11/8/03,"37,258","2,310,000",1.61,,,
Arizona,11/22/03,"4,188",11/15/03,"37,298","2,310,000",1.61,,,
Arizona,11/29/03,"3,089",11/22/03,"35,101","2,310,000",1.52,,,
Arizona,12/6/03,"4,466",11/29/03,"37,525","2,310,000",1.62,,,
Arizona,12/13/03,"4,272",12/6/03,"35,725","2,310,000",1.55,,,
Arizona,12/20/03,"3,834",12/13/03,"35,406","2,310,000",1.53,,,
