State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Arkansas,1/1/00,"7,181",12/25/99,"27,622","1,072,034",2.58,,,
Arkansas,1/8/00,"8,139",1/1/00,"34,281","1,082,225",3.17,,,
Arkansas,1/15/00,"3,602",1/8/00,"28,668","1,082,225",2.65,,,
Arkansas,1/22/00,"2,755",1/15/00,"26,659","1,082,225",2.46,,,
Arkansas,1/29/00,"2,386",1/22/00,"25,785","1,082,225",2.38,,,
Arkansas,2/5/00,"5,060",1/29/00,"27,484","1,082,225",2.54,,,
Arkansas,2/12/00,"2,306",2/5/00,"27,703","1,082,225",2.56,,,
Arkansas,2/19/00,"2,451",2/12/00,"25,558","1,082,225",2.36,,,
Arkansas,2/26/00,"2,344",2/19/00,"24,855","1,082,225",2.3,,,
Arkansas,3/4/00,"2,319",2/26/00,"24,646","1,082,225",2.28,,,
Arkansas,3/11/00,"2,898",3/4/00,"23,453","1,082,225",2.17,,,
Arkansas,3/18/00,"2,371",3/11/00,"23,654","1,082,225",2.19,,,
Arkansas,3/25/00,"2,754",3/18/00,"22,798","1,082,225",2.11,,,
Arkansas,4/1/00,"2,327",3/25/00,"22,621","1,082,225",2.09,,,
Arkansas,4/8/00,"3,837",4/1/00,"21,683","1,086,614",2,,,
Arkansas,4/15/00,"2,903",4/8/00,"21,576","1,086,614",1.99,,,
Arkansas,4/22/00,"2,251",4/15/00,"21,771","1,086,614",2,,,
Arkansas,4/29/00,"2,711",4/22/00,"20,964","1,086,614",1.93,,,
Arkansas,5/6/00,"2,669",4/29/00,"20,480","1,086,614",1.88,,,
Arkansas,5/13/00,"2,646",5/6/00,"20,437","1,086,614",1.88,,,
Arkansas,5/20/00,"3,313",5/13/00,"20,158","1,086,614",1.86,,,
Arkansas,5/27/00,"3,703",5/20/00,"20,943","1,086,614",1.93,,,
Arkansas,6/3/00,"3,281",5/27/00,"22,192","1,086,614",2.04,,,
Arkansas,6/10/00,"3,013",6/3/00,"21,812","1,086,614",2.01,,,
Arkansas,6/17/00,"3,292",6/10/00,"21,488","1,086,614",1.98,,,
Arkansas,6/24/00,"3,434",6/17/00,"22,039","1,086,614",2.03,,,
Arkansas,7/1/00,"3,387",6/24/00,"22,601","1,086,614",2.08,,,
Arkansas,7/8/00,"6,948",7/1/00,"22,464","1,092,368",2.06,,,
Arkansas,7/15/00,"3,372",7/8/00,"26,198","1,092,368",2.4,,,
Arkansas,7/22/00,"3,235",7/15/00,"23,667","1,092,368",2.17,,,
Arkansas,7/29/00,"2,663",7/22/00,"22,812","1,092,368",2.09,,,
Arkansas,8/5/00,"3,534",7/29/00,"22,327","1,092,368",2.04,,,
Arkansas,8/12/00,"3,346",8/5/00,"22,981","1,092,368",2.1,,,
Arkansas,8/19/00,"3,229",8/12/00,"22,860","1,092,368",2.09,,,
Arkansas,8/26/00,"3,251",8/19/00,"22,237","1,092,368",2.04,,,
Arkansas,9/2/00,"4,045",8/26/00,"21,831","1,092,368",2,,,
Arkansas,9/9/00,"2,878",9/2/00,"22,151","1,092,368",2.03,,,
Arkansas,9/16/00,"2,571",9/9/00,"21,758","1,092,368",1.99,,,
Arkansas,9/23/00,"2,366",9/16/00,"20,689","1,092,368",1.89,,,
Arkansas,9/30/00,"2,451",9/23/00,"20,244","1,092,368",1.85,,,
Arkansas,10/7/00,"4,263",9/30/00,"20,212","1,092,368",1.85,,,
Arkansas,10/14/00,"2,892",10/7/00,"21,037","1,098,215",1.92,,,
Arkansas,10/21/00,"2,944",10/14/00,"21,723","1,098,215",1.98,,,
Arkansas,10/28/00,"3,155",10/21/00,"21,940","1,098,215",2,,,
Arkansas,11/4/00,"3,709",10/28/00,"22,549","1,098,215",2.05,,,
Arkansas,11/11/00,"4,720",11/4/00,"23,059","1,098,215",2.1,,,
Arkansas,11/18/00,"5,425",11/11/00,"26,214","1,098,215",2.39,,,
Arkansas,11/25/00,"6,007",11/18/00,"25,008","1,098,215",2.28,,,
Arkansas,12/2/00,"5,279",11/25/00,"31,467","1,098,215",2.87,,,
Arkansas,12/9/00,"3,904",12/2/00,"28,294","1,098,215",2.58,,,
Arkansas,12/16/00,"4,874",12/9/00,"27,791","1,098,215",2.53,,,
Arkansas,12/23/00,"8,626",12/16/00,"31,724","1,098,215",2.89,,,
Arkansas,12/30/00,"6,654",12/23/00,"32,052","1,098,215",2.92,,,
Arkansas,1/6/01,"10,972",12/30/00,"42,312","1,098,215",3.85,,,
Arkansas,1/13/01,"7,477",1/6/01,"40,953","1,101,824",3.72,,,
Arkansas,1/20/01,"5,683",1/13/01,"37,526","1,101,824",3.41,,,
Arkansas,1/27/01,"5,516",1/20/01,"38,625","1,101,824",3.51,,,
Arkansas,2/3/01,"4,614",1/27/01,"39,191","1,101,824",3.56,,,
Arkansas,2/10/01,"4,166",2/3/01,"36,664","1,101,824",3.33,,,
Arkansas,2/17/01,"5,075",2/10/01,"35,703","1,101,824",3.24,,,
Arkansas,2/24/01,"4,516",2/17/01,"36,670","1,101,824",3.33,,,
Arkansas,3/3/01,"4,497",2/24/01,"35,325","1,101,824",3.21,,,
Arkansas,3/10/01,"4,106",3/3/01,"34,666","1,101,824",3.15,,,
Arkansas,3/17/01,"3,965",3/10/01,"32,866","1,101,824",2.98,,,
Arkansas,3/24/01,"4,103",3/17/01,"33,998","1,101,824",3.09,,,
Arkansas,3/31/01,"3,533",3/24/01,"32,464","1,101,824",2.95,,,
Arkansas,4/7/01,"5,047",3/31/01,"31,224","1,101,824",2.83,,,
Arkansas,4/14/01,"4,910",4/7/01,"30,410","1,106,459",2.75,,,
Arkansas,4/21/01,"3,507",4/14/01,"32,175","1,106,459",2.91,,,
Arkansas,4/28/01,"3,437",4/21/01,"30,108","1,106,459",2.72,,,
Arkansas,5/5/01,"3,606",4/28/01,"29,674","1,106,459",2.68,,,
Arkansas,5/12/01,"4,206",5/5/01,"30,286","1,106,459",2.74,,,
Arkansas,5/19/01,"4,471",5/12/01,"29,830","1,106,459",2.7,,,
Arkansas,5/26/01,"4,847",5/19/01,"31,281","1,106,459",2.83,,,
