State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
California,1/1/00,"37,401",12/25/99,"342,787","13,844,545",2.48,,,
California,1/8/00,"59,000",1/1/00,"432,585","13,936,225",3.1,,,
California,1/15/00,"50,928",1/8/00,"402,332","13,936,225",2.89,,,
California,1/22/00,"51,002",1/15/00,"393,435","13,936,225",2.82,,,
California,1/29/00,"52,703",1/22/00,"398,192","13,936,225",2.86,,,
California,2/5/00,"64,057",1/29/00,"406,763","13,936,225",2.92,,,
California,2/12/00,"58,108",2/5/00,"390,687","13,936,225",2.8,,,
California,2/19/00,"56,794",2/12/00,"404,331","13,936,225",2.9,,,
California,2/26/00,"51,206",2/19/00,"401,377","13,936,225",2.88,,,
California,3/4/00,"54,070",2/26/00,"436,537","13,936,225",3.13,,,
California,3/11/00,"51,087",3/4/00,"427,793","13,936,225",3.07,,,
California,3/18/00,"45,882",3/11/00,"422,760","13,936,225",3.03,,,
California,3/25/00,"44,001",3/18/00,"412,797","13,936,225",2.96,,,
California,4/1/00,"42,822",3/25/00,"397,768","13,936,225",2.85,,,
California,4/8/00,"43,672",4/1/00,"383,212","14,037,846",2.73,,,
California,4/15/00,"40,512",4/8/00,"363,462","14,037,846",2.59,,,
California,4/22/00,"44,142",4/15/00,"361,012","14,037,846",2.57,,,
California,4/29/00,"39,575",4/22/00,"336,979","14,037,846",2.4,,,
California,5/6/00,"48,687",4/29/00,"345,958","14,037,846",2.46,,,
California,5/13/00,"45,981",5/6/00,"324,337","14,037,846",2.31,,,
California,5/20/00,"42,299",5/13/00,"321,668","14,037,846",2.29,,,
California,5/27/00,"40,969",5/20/00,"317,015","14,037,846",2.26,,,
California,6/3/00,"40,439",5/27/00,"291,321","14,037,846",2.08,,,
California,6/10/00,"45,417",6/3/00,"319,802","14,037,846",2.28,,,
California,6/17/00,"48,443",6/10/00,"303,961","14,037,846",2.17,,,
California,6/24/00,"49,187",6/17/00,"308,158","14,037,846",2.2,,,
California,7/1/00,"47,794",6/24/00,"303,959","14,037,846",2.17,,,
California,7/8/00,"43,839",7/1/00,"287,229","14,144,927",2.03,,,
California,7/15/00,"44,895",7/8/00,"328,825","14,144,927",2.32,,,
California,7/22/00,"42,199",7/15/00,"323,661","14,144,927",2.29,,,
California,7/29/00,"41,015",7/22/00,"304,806","14,144,927",2.15,,,
California,8/5/00,"47,559",7/29/00,"310,708","14,144,927",2.2,,,
California,8/12/00,"44,693",8/5/00,"296,718","14,144,927",2.1,,,
California,8/19/00,"39,700",8/12/00,"302,806","14,144,927",2.14,,,
California,8/26/00,"39,047",8/19/00,"301,407","14,144,927",2.13,,,
California,9/2/00,"38,980",8/26/00,"296,056","14,144,927",2.09,,,
California,9/9/00,"37,458",9/2/00,"276,274","14,144,927",1.95,,,
California,9/16/00,"40,042",9/9/00,"290,284","14,144,927",2.05,,,
California,9/23/00,"40,561",9/16/00,"285,303","14,144,927",2.02,,,
California,9/30/00,"42,686",9/23/00,"277,519","14,144,927",1.96,,,
California,10/7/00,"47,599",9/30/00,"281,030","14,267,768",1.97,,,
California,10/14/00,"44,254",10/7/00,"267,423","14,267,768",1.87,,,
California,10/21/00,"46,892",10/14/00,"291,818","14,267,768",2.05,,,
California,10/28/00,"46,387",10/21/00,"287,859","14,267,768",2.02,,,
California,11/4/00,"59,070",10/28/00,"302,837","14,267,768",2.12,,,
California,11/11/00,"47,455",11/4/00,"274,606","14,267,768",1.92,,,
California,11/18/00,"61,022",11/11/00,"334,321","14,267,768",2.34,,,
California,11/25/00,"42,199",11/18/00,"314,815","14,267,768",2.21,,,
California,12/2/00,"56,285",11/25/00,"355,359","14,267,768",2.49,,,
California,12/9/00,"48,952",12/2/00,"359,045","14,267,768",2.52,,,
California,12/16/00,"48,427",12/9/00,"365,458","14,267,768",2.56,,,
California,12/23/00,"50,802",12/16/00,"359,611","14,267,768",2.52,,,
California,12/30/00,"42,608",12/23/00,"339,424","14,267,768",2.38,,,
California,1/6/01,"45,705",12/30/00,"375,517","14,267,768",2.63,,,
California,1/13/01,"57,555",1/6/01,"403,601","14,395,600",2.8,,,
California,1/20/01,"41,397",1/13/01,"341,833","14,395,600",2.37,,,
California,1/27/01,"54,944",1/20/01,"415,878","14,395,600",2.89,,,
California,2/3/01,"60,068",1/27/01,"393,931","14,395,600",2.74,,,
California,2/10/01,"61,532",2/3/01,"389,830","14,395,600",2.71,,,
California,2/17/01,"52,274",2/10/01,"379,717","14,395,600",2.64,,,
California,2/24/01,"53,428",2/17/01,"408,761","14,395,600",2.84,,,
California,3/3/01,"56,260",2/24/01,"426,532","14,395,600",2.96,,,
California,3/10/01,"58,428",3/3/01,"443,802","14,395,600",3.08,,,
California,3/17/01,"51,588",3/10/01,"432,831","14,395,600",3.01,,,
California,3/24/01,"49,170",3/17/01,"442,727","14,395,600",3.08,,,
California,3/31/01,"49,771",3/24/01,"415,544","14,395,600",2.89,,,
California,4/7/01,"52,779",3/31/01,"421,314","14,395,600",2.93,,,
California,4/14/01,"51,384",4/7/01,"402,744","15,098,703",2.67,,,
California,4/21/01,"50,354",4/14/01,"417,473","15,098,703",2.76,,,
California,4/28/01,"48,793",4/21/01,"404,586","15,098,703",2.68,,,
California,5/5/01,"55,732",4/28/01,"413,674","15,098,703",2.74,,,
California,5/12/01,"55,660",5/5/01,"392,599","15,098,703",2.6,,,
California,5/19/01,"52,091",5/12/01,"404,851","15,098,703",2.68,,,
California,5/26/01,"49,938",5/19/01,"400,538","15,098,703",2.65,,,
California,6/2/01,"44,045",5/26/01,"390,781","15,098,703",2.59,,,
California,6/9/01,"51,127",6/2/01,"412,038","15,098,703",2.73,,,
California,6/16/01,"52,389",6/9/01,"406,897","15,098,703",2.69,,,
California,6/23/01,"54,534",6/16/01,"400,168","15,098,703",2.65,,,
California,6/30/01,"53,971",6/23/01,"420,662","15,098,703",2.79,,,
California,7/7/01,"49,067",6/30/01,"389,419","15,098,703",2.58,,,
California,7/14/01,"54,885",7/7/01,"445,721","15,213,756",2.93,,,
California,7/21/01,"52,355",7/14/01,"439,779","15,213,756",2.89,,,
California,7/28/01,"48,862",7/21/01,"427,539","15,213,756",2.81,,,
California,8/4/01,"54,682",7/28/01,"438,794","15,213,756",2.88,,,
California,8/11/01,"53,561",8/4/01,"430,855","15,213,756",2.83,,,
California,8/18/01,"48,302",8/11/01,"438,258","15,213,756",2.88,,,
California,8/25/01,"47,763",8/18/01,"428,757","15,213,756",2.82,,,
California,9/1/01,"48,201",8/25/01,"432,972","15,213,756",2.85,,,
California,9/8/01,"44,692",9/1/01,"406,686","15,213,756",2.67,,,
California,9/15/01,"45,543",9/8/01,"433,407","15,213,756",2.85,,,
California,9/22/01,"54,880",9/15/01,"422,579","15,213,756",2.78,,,
California,9/29/01,"59,298",9/22/01,"427,192","15,213,756",2.81,,,
California,10/6/01,"64,455",9/29/01,"436,252","15,213,756",2.87,,,
California,10/13/01,"57,113",10/6/01,"415,575","15,318,927",2.71,,,
California,10/20/01,"67,494",10/13/01,"461,566","15,318,927",3.01,,,
California,10/27/01,"63,021",10/20/01,"462,723","15,318,927",3.02,,,
California,11/3/01,"66,971",10/27/01,"477,901","15,318,927",3.12,,,
California,11/10/01,"67,948",11/3/01,"490,522","15,318,927",3.2,,,
California,11/17/01,"63,328",11/10/01,"476,023","15,318,927",3.11,,,
California,11/24/01,"48,456",11/17/01,"493,839","15,318,927",3.22,,,
California,12/1/01,"67,736",11/24/01,"556,114","15,318,927",3.63,,,
California,12/8/01,"60,525",12/1/01,"547,904","15,318,927",3.58,,,
California,12/15/01,"53,310",12/8/01,"563,750","15,318,927",3.68,,,
California,12/22/01,"48,905",12/15/01,"564,741","15,318,927",3.69,,,
California,12/29/01,"37,038",12/22/01,"469,167","15,318,927",3.06,,,
California,1/5/02,"58,062",12/29/01,"541,166","15,318,927",3.53,,,
California,1/12/02,"92,102",1/5/02,"581,011","14,789,945",3.93,,,
California,1/19/02,"80,368",1/12/02,"522,186","14,789,945",3.53,,,
California,1/26/02,"67,553",1/19/02,"619,494","14,789,945",4.19,,,
California,2/2/02,"69,102",1/26/02,"565,489","14,789,945",3.82,,,
California,2/9/02,"67,208",2/2/02,"643,078","14,789,945",4.35,,,
California,2/16/02,"58,391",2/9/02,"573,381","14,789,945",3.88,,,
California,2/23/02,"55,410",2/16/02,"619,798","14,789,945",4.19,,,
California,3/2/02,"58,635",2/23/02,"608,274","14,789,945",4.11,,,
California,3/9/02,"59,396",3/2/02,"653,281","14,789,945",4.42,,,
California,3/16/02,"54,717",3/9/02,"585,464","14,789,945",3.96,,,
California,3/23/02,"59,198",3/16/02,"646,252","14,789,945",4.37,,,
California,3/30/02,"60,357",3/23/02,"568,208","14,789,945",3.84,,,
California,4/6/02,"55,570",3/30/02,"622,380","14,789,945",4.21,,,
California,4/13/02,"64,771",4/6/02,"552,719","14,807,057",3.73,,,
California,4/20/02,"66,753",4/13/02,"603,791","14,807,057",4.08,,,
California,4/27/02,"62,617",4/20/02,"549,133","14,807,057",3.71,,,
California,5/4/02,"59,109",4/27/02,"593,499","14,807,057",4.01,,,
California,5/11/02,"57,358",5/4/02,"531,566","14,807,057",3.59,,,
California,5/18/02,"52,851",5/11/02,"569,577","14,807,057",3.85,,,
California,5/25/02,"55,139",5/18/02,"515,879","14,807,057",3.48,,,
