State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Colorado,1/1/00,"1,605",12/25/99,"16,104","1,996,147",0.81,,,
Colorado,1/8/00,"3,988",1/1/00,"19,385","2,016,093",0.96,,,
Colorado,1/15/00,"2,406",1/8/00,"15,942","2,016,093",0.79,,,
Colorado,1/22/00,"2,090",1/15/00,"20,365","2,016,093",1.01,,,
Colorado,1/29/00,"2,186",1/22/00,"16,846","2,016,093",0.84,,,
Colorado,2/5/00,"2,322",1/29/00,"19,987","2,016,093",0.99,,,
Colorado,2/12/00,"1,831",2/5/00,"17,145","2,016,093",0.85,,,
Colorado,2/19/00,"1,769",2/12/00,"19,501","2,016,093",0.97,,,
Colorado,2/26/00,"1,563",2/19/00,"17,140","2,016,093",0.85,,,
Colorado,3/4/00,"1,849",2/26/00,"18,312","2,016,093",0.91,,,
Colorado,3/11/00,"1,578",3/4/00,"16,265","2,016,093",0.81,,,
Colorado,3/18/00,"1,522",3/11/00,"17,397","2,016,093",0.86,,,
Colorado,3/25/00,"2,032",3/18/00,"15,748","2,016,093",0.78,,,
Colorado,4/1/00,"1,614",3/25/00,"16,501","2,016,093",0.82,,,
Colorado,4/8/00,"2,154",4/1/00,"15,717","2,033,298",0.77,,,
Colorado,4/15/00,"1,882",4/8/00,"14,590","2,033,298",0.72,,,
Colorado,4/22/00,"1,935",4/15/00,"15,301","2,033,298",0.75,,,
Colorado,4/29/00,"1,923",4/22/00,"14,119","2,033,298",0.69,,,
Colorado,5/6/00,"1,739",4/29/00,"15,014","2,033,298",0.74,,,
Colorado,5/13/00,"1,510",5/6/00,"14,179","2,033,298",0.7,,,
Colorado,5/20/00,"1,666",5/13/00,"14,783","2,033,298",0.73,,,
Colorado,5/27/00,"1,599",5/20/00,"13,925","2,033,298",0.68,,,
Colorado,6/3/00,"1,675",5/27/00,"14,069","2,033,298",0.69,,,
Colorado,6/10/00,"1,623",6/3/00,"13,598","2,033,298",0.67,,,
Colorado,6/17/00,"1,400",6/10/00,"13,738","2,033,298",0.68,,,
Colorado,6/24/00,"1,332",6/17/00,"13,757","2,033,298",0.68,,,
Colorado,7/1/00,"1,660",6/24/00,"13,392","2,033,298",0.66,,,
Colorado,7/8/00,"1,627",7/1/00,"13,179","2,051,001",0.64,,,
Colorado,7/15/00,"1,832",7/8/00,"12,741","2,051,001",0.62,,,
Colorado,7/22/00,"1,589",7/15/00,"14,140","2,051,001",0.69,,,
Colorado,7/29/00,"1,363",7/22/00,"13,341","2,051,001",0.65,,,
Colorado,8/5/00,"1,560",7/29/00,"13,838","2,051,001",0.67,,,
Colorado,8/12/00,"1,477",8/5/00,"13,241","2,051,001",0.65,,,
Colorado,8/19/00,"1,421",8/12/00,"13,603","2,051,001",0.66,,,
Colorado,8/26/00,"1,403",8/19/00,"12,658","2,051,001",0.62,,,
Colorado,9/2/00,"1,475",8/26/00,"12,787","2,051,001",0.62,,,
Colorado,9/9/00,"1,242",9/2/00,"11,629","2,051,001",0.57,,,
Colorado,9/16/00,"1,357",9/9/00,"12,083","2,051,001",0.59,,,
Colorado,9/23/00,"1,285",9/16/00,"11,332","2,051,001",0.55,,,
Colorado,9/30/00,"1,574",9/23/00,"11,590","2,051,001",0.57,,,
Colorado,10/7/00,"2,280",9/30/00,"11,067","2,068,807",0.53,,,
Colorado,10/14/00,"1,748",10/7/00,"11,211","2,068,807",0.54,,,
Colorado,10/21/00,"1,825",10/14/00,"12,613","2,068,807",0.61,,,
Colorado,10/28/00,"1,797",10/21/00,"12,111","2,068,807",0.59,,,
Colorado,11/4/00,"2,001",10/28/00,"13,264","2,068,807",0.64,,,
Colorado,11/11/00,"1,938",11/4/00,"12,203","2,068,807",0.59,,,
Colorado,11/18/00,"3,457",11/11/00,"14,090","2,068,807",0.68,,,
Colorado,11/25/00,"1,703",11/18/00,"13,460","2,068,807",0.65,,,
Colorado,12/2/00,"2,033",11/25/00,"15,973","2,068,807",0.77,,,
Colorado,12/9/00,"2,047",12/2/00,"14,870","2,068,807",0.72,,,
Colorado,12/16/00,"3,386",12/9/00,"15,219","2,068,807",0.74,,,
Colorado,12/23/00,"2,758",12/16/00,"15,718","2,068,807",0.76,,,
Colorado,12/30/00,"1,627",12/23/00,"16,957","2,068,807",0.82,,,
Colorado,1/6/01,"2,954",12/30/00,"17,560","2,068,807",0.85,,,
Colorado,1/13/01,"3,439",1/6/01,"18,303","2,088,453",0.88,,,
Colorado,1/20/01,"3,157",1/13/01,"16,819","2,088,453",0.81,,,
Colorado,1/27/01,"2,650",1/20/01,"21,698","2,088,453",1.04,,,
Colorado,2/3/01,"2,958",1/27/01,"18,974","2,088,453",0.91,,,
Colorado,2/10/01,"2,598",2/3/01,"22,476","2,088,453",1.08,,,
Colorado,2/17/01,"2,498",2/10/01,"19,823","2,088,453",0.95,,,
Colorado,2/24/01,"2,050",2/17/01,"22,989","2,088,453",1.1,,,
Colorado,3/3/01,"2,597",2/24/01,"20,315","2,088,453",0.97,,,
Colorado,3/10/01,"2,368",3/3/01,"22,501","2,088,453",1.08,,,
Colorado,3/17/01,"2,131",3/10/01,"20,303","2,088,453",0.97,,,
Colorado,3/24/01,"2,117",3/17/01,"21,966","2,088,453",1.05,,,
Colorado,3/31/01,"2,599",3/24/01,"19,349","2,088,453",0.93,,,
Colorado,4/7/01,"3,449",3/31/01,"21,008","2,088,453",1.01,,,
Colorado,4/14/01,"2,926",4/7/01,"18,496","2,110,480",0.88,,,
Colorado,4/21/01,"3,142",4/14/01,"22,532","2,110,480",1.07,,,
Colorado,4/28/01,"3,005",4/21/01,"19,583","2,110,480",0.93,,,
Colorado,5/5/01,"3,051",4/28/01,"23,388","2,110,480",1.11,,,
Colorado,5/12/01,"2,647",5/5/01,"20,879","2,110,480",0.99,,,
Colorado,5/19/01,"2,576",5/12/01,"23,843","2,110,480",1.13,,,
Colorado,5/26/01,"2,578",5/19/01,"22,298","2,110,480",1.06,,,
Colorado,6/2/01,"2,470",5/26/01,"23,611","2,110,480",1.12,,,
Colorado,6/9/01,"2,743",6/2/01,"22,318","2,110,480",1.06,,,
Colorado,6/16/01,"2,263",6/9/01,"23,272","2,110,480",1.1,,,
Colorado,6/23/01,"1,993",6/16/01,"23,772","2,110,480",1.13,,,
Colorado,6/30/01,"3,018",6/23/01,"23,504","2,110,480",1.11,,,
Colorado,7/7/01,"3,420",6/30/01,"22,863","2,110,480",1.08,,,
Colorado,7/14/01,"3,051",7/7/01,"23,048","2,132,017",1.08,,,
Colorado,7/21/01,"3,144",7/14/01,"26,111","2,132,017",1.22,,,
Colorado,7/28/01,"2,604",7/21/01,"24,650","2,132,017",1.16,,,
Colorado,8/4/01,"1,944",7/28/01,"27,919","2,132,017",1.31,,,
Colorado,8/11/01,"3,146",8/4/01,"25,579","2,132,017",1.2,,,
Colorado,8/18/01,"2,733",8/11/01,"28,600","2,132,017",1.34,,,
Colorado,8/25/01,"2,771",8/18/01,"25,698","2,132,017",1.21,,,
Colorado,9/1/01,"2,816",8/25/01,"28,576","2,132,017",1.34,,,
Colorado,9/8/01,"2,749",9/1/01,"25,385","2,132,017",1.19,,,
Colorado,9/15/01,"2,570",9/8/01,"28,336","2,132,017",1.33,,,
Colorado,9/22/01,"3,230",9/15/01,"26,290","2,132,017",1.23,,,
Colorado,9/29/01,"3,349",9/22/01,"28,883","2,132,017",1.35,,,
Colorado,10/6/01,"4,894",9/29/01,"27,092","2,132,017",1.27,,,
Colorado,10/13/01,"4,176",10/6/01,"30,803","2,149,078",1.43,,,
Colorado,10/20/01,"5,259",10/13/01,"29,750","2,149,078",1.38,,,
Colorado,10/27/01,"4,105",10/20/01,"36,245","2,149,078",1.69,,,
Colorado,11/3/01,"4,494",10/27/01,"33,110","2,149,078",1.54,,,
Colorado,11/10/01,"4,422",11/3/01,"38,638","2,149,078",1.8,,,
Colorado,11/17/01,"3,342",11/10/01,"35,546","2,149,078",1.65,,,
Colorado,11/24/01,"3,819",11/17/01,"40,459","2,149,078",1.88,,,
Colorado,12/1/01,"5,172",11/24/01,"36,886","2,149,078",1.72,,,
Colorado,12/8/01,"5,090",12/1/01,"44,504","2,149,078",2.07,,,
Colorado,12/15/01,"4,372",12/8/01,"39,785","2,149,078",1.85,,,
Colorado,12/22/01,"4,445",12/15/01,"46,843","2,149,078",2.18,,,
Colorado,12/29/01,"3,092",12/22/01,"39,853","2,149,078",1.85,,,
Colorado,1/5/02,"4,039",12/29/01,"48,800","2,149,078",2.27,,,
Colorado,1/12/02,"5,200",1/5/02,"44,269","2,159,095",2.05,,,
Colorado,1/19/02,"4,661",1/12/02,"48,658","2,159,095",2.25,,,
