State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Connecticut,1/1/00,"6,643",12/25/99,"30,145","1,610,417",1.87,,,
Connecticut,1/8/00,"8,319",1/1/00,"42,761","1,618,605",2.64,,,
Connecticut,1/15/00,"7,679",1/8/00,"39,077","1,618,605",2.41,,,
Connecticut,1/22/00,"5,345",1/15/00,"36,810","1,618,605",2.27,,,
Connecticut,1/29/00,"4,424",1/22/00,"38,405","1,618,605",2.37,,,
Connecticut,2/5/00,"4,222",1/29/00,"38,876","1,618,605",2.4,,,
Connecticut,2/12/00,"2,869",2/5/00,"37,711","1,618,605",2.33,,,
Connecticut,2/19/00,"3,395",2/12/00,"38,814","1,618,605",2.4,,,
Connecticut,2/26/00,"3,481",2/19/00,"37,295","1,618,605",2.3,,,
Connecticut,3/4/00,"4,349",2/26/00,"39,891","1,618,605",2.46,,,
Connecticut,3/11/00,"2,886",3/4/00,"35,913","1,618,605",2.22,,,
Connecticut,3/18/00,"2,910",3/11/00,"34,287","1,618,605",2.12,,,
Connecticut,3/25/00,"2,641",3/18/00,"33,015","1,618,605",2.04,,,
Connecticut,4/1/00,"2,204",3/25/00,"31,070","1,618,605",1.92,,,
Connecticut,4/8/00,"2,800",4/1/00,"28,866","1,625,227",1.78,,,
Connecticut,4/15/00,"2,445",4/8/00,"27,518","1,625,227",1.69,,,
Connecticut,4/22/00,"3,304",4/15/00,"25,947","1,625,227",1.6,,,
Connecticut,4/29/00,"4,201",4/22/00,"29,740","1,625,227",1.83,,,
Connecticut,5/6/00,"3,107",4/29/00,"25,858","1,625,227",1.59,,,
Connecticut,5/13/00,"2,287",5/6/00,"24,774","1,625,227",1.52,,,
Connecticut,5/20/00,"2,319",5/13/00,"24,505","1,625,227",1.51,,,
Connecticut,5/27/00,"2,421",5/20/00,"23,957","1,625,227",1.47,,,
Connecticut,6/3/00,"2,420",5/27/00,"24,489","1,625,227",1.51,,,
Connecticut,6/10/00,"2,740",6/3/00,"24,496","1,625,227",1.51,,,
Connecticut,6/17/00,"3,469",6/10/00,"24,576","1,625,227",1.51,,,
Connecticut,6/24/00,"4,913",6/17/00,"25,287","1,625,227",1.56,,,
Connecticut,7/1/00,"4,228",6/24/00,"28,052","1,625,227",1.73,,,
Connecticut,7/8/00,"3,480",7/1/00,"28,306","1,633,436",1.73,,,
Connecticut,7/15/00,"3,886",7/8/00,"30,703","1,633,436",1.88,,,
Connecticut,7/22/00,"3,141",7/15/00,"29,517","1,633,436",1.81,,,
Connecticut,7/29/00,"3,064",7/22/00,"29,239","1,633,436",1.79,,,
Connecticut,8/5/00,"4,476",7/29/00,"29,734","1,633,436",1.82,,,
Connecticut,8/12/00,"3,069",8/5/00,"31,412","1,633,436",1.92,,,
Connecticut,8/19/00,"2,587",8/12/00,"29,791","1,633,436",1.82,,,
Connecticut,8/26/00,"2,605",8/19/00,"29,254","1,633,436",1.79,,,
Connecticut,9/2/00,"2,309",8/26/00,"28,830","1,633,436",1.76,,,
Connecticut,9/9/00,"2,539",9/2/00,"25,219","1,633,436",1.54,,,
Connecticut,9/16/00,"2,333",9/9/00,"24,071","1,633,436",1.47,,,
Connecticut,9/23/00,"2,127",9/16/00,"22,530","1,633,436",1.38,,,
Connecticut,9/30/00,"1,924",9/23/00,"21,899","1,633,436",1.34,,,
Connecticut,10/7/00,"2,602",9/30/00,"21,686","1,638,495",1.32,,,
Connecticut,10/14/00,"2,092",10/7/00,"21,305","1,638,495",1.3,,,
Connecticut,10/21/00,"2,932",10/14/00,"22,025","1,638,495",1.34,,,
Connecticut,10/28/00,"2,519",10/21/00,"22,222","1,638,495",1.36,,,
Connecticut,11/4/00,"2,964",10/28/00,"22,606","1,638,495",1.38,,,
Connecticut,11/11/00,"2,337",11/4/00,"22,090","1,638,495",1.35,,,
Connecticut,11/18/00,"3,303",11/11/00,"23,454","1,638,495",1.43,,,
Connecticut,11/25/00,"3,092",11/18/00,"23,053","1,638,495",1.41,,,
Connecticut,12/2/00,"3,402",11/25/00,"25,699","1,638,495",1.57,,,
Connecticut,12/9/00,"3,451",12/2/00,"25,410","1,638,495",1.55,,,
Connecticut,12/16/00,"4,302",12/9/00,"26,275","1,638,495",1.6,,,
Connecticut,12/23/00,"4,433",12/16/00,"27,572","1,638,495",1.68,,,
Connecticut,12/30/00,"5,995",12/23/00,"29,214","1,638,495",1.78,,,
Connecticut,1/6/01,"6,754",12/30/00,"34,276","1,638,495",2.09,,,
Connecticut,1/13/01,"9,766",1/6/01,"41,409","1,643,674",2.52,,,
Connecticut,1/20/01,"7,269",1/13/01,"39,383","1,643,674",2.4,,,
Connecticut,1/27/01,"5,800",1/20/01,"39,619","1,643,674",2.41,,,
