State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Delaware,1/1/00,"1,270",12/25/99,"5,755","384,549",1.5,,,
Delaware,1/8/00,"2,606",1/1/00,"7,183","387,307",1.85,,,
Delaware,1/15/00,"1,089",1/8/00,"8,050","387,307",2.08,,,
Delaware,1/22/00,"1,202",1/15/00,"7,466","387,307",1.93,,,
Delaware,1/29/00,"1,401",1/22/00,"7,596","387,307",1.96,,,
Delaware,2/5/00,"1,367",1/29/00,"8,916","387,307",2.3,,,
Delaware,2/12/00,788,2/5/00,"8,310","387,307",2.15,,,
Delaware,2/19/00,"1,741",2/12/00,"7,728","387,307",2,,,
Delaware,2/26/00,944,2/19/00,"8,740","387,307",2.26,,,
Delaware,3/4/00,"2,243",2/26/00,"7,595","387,307",1.96,,,
Delaware,3/11/00,732,3/4/00,"7,089","387,307",1.83,,,
Delaware,3/18/00,604,3/11/00,"6,756","387,307",1.74,,,
Delaware,3/25/00,606,3/18/00,"5,991","387,307",1.55,,,
Delaware,4/1/00,"1,550",3/25/00,"5,692","387,307",1.47,,,
Delaware,4/8/00,781,4/1/00,"6,181","390,338",1.58,,,
Delaware,4/15/00,"2,123",4/8/00,"5,835","390,338",1.49,,,
Delaware,4/22/00,741,4/15/00,"5,331","390,338",1.37,,,
Delaware,4/29/00,"1,179",4/22/00,"5,379","390,338",1.38,,,
Delaware,5/6/00,"1,298",4/29/00,"5,078","390,338",1.3,,,
Delaware,5/13/00,"1,363",5/6/00,"5,050","390,338",1.29,,,
Delaware,5/20/00,"1,105",5/13/00,"5,112","390,338",1.31,,,
Delaware,5/27/00,611,5/20/00,"4,806","390,338",1.23,,,
Delaware,6/3/00,639,5/27/00,"4,191","390,338",1.07,,,
Delaware,6/10/00,"1,185",6/3/00,"4,470","390,338",1.15,,,
Delaware,6/17/00,913,6/10/00,"4,691","390,338",1.2,,,
Delaware,6/24/00,806,6/17/00,"5,010","390,338",1.28,,,
Delaware,7/1/00,"2,117",6/24/00,"5,312","390,338",1.36,,,
Delaware,7/8/00,"1,905",7/1/00,"6,464","393,356",1.64,,,
Delaware,7/15/00,691,7/8/00,"6,739","393,356",1.71,,,
Delaware,7/22/00,"2,127",7/15/00,"5,872","393,356",1.49,,,
Delaware,7/29/00,"1,724",7/22/00,"7,347","393,356",1.87,,,
Delaware,8/5/00,775,7/29/00,"7,391","393,356",1.88,,,
Delaware,8/12/00,569,8/5/00,"5,905","393,356",1.5,,,
Delaware,8/19/00,602,8/12/00,"5,740","393,356",1.46,,,
Delaware,8/26/00,536,8/19/00,"5,847","393,356",1.49,,,
Delaware,9/2/00,728,8/26/00,"4,718","393,356",1.2,,,
Delaware,9/9/00,"1,035",9/2/00,"5,113","393,356",1.3,,,
Delaware,9/16/00,672,9/9/00,"5,458","393,356",1.39,,,
Delaware,9/23/00,487,9/16/00,"4,772","393,356",1.21,,,
Delaware,9/30/00,610,9/23/00,"4,224","393,356",1.07,,,
Delaware,10/7/00,684,9/30/00,"4,483","396,775",1.13,,,
Delaware,10/14/00,511,10/7/00,"4,334","396,775",1.09,,,
Delaware,10/21/00,531,10/14/00,"4,259","396,775",1.07,,,
Delaware,10/28/00,610,10/21/00,"4,229","396,775",1.07,,,
Delaware,11/4/00,"2,442",10/28/00,"4,281","396,775",1.08,,,
Delaware,11/11/00,713,11/4/00,"6,205","396,775",1.56,,,
Delaware,11/18/00,881,11/11/00,"5,062","396,775",1.28,,,
Delaware,11/25/00,783,11/18/00,"4,757","396,775",1.2,,,
Delaware,12/2/00,"1,018",11/25/00,"6,102","396,775",1.54,,,
Delaware,12/9/00,"2,549",12/2/00,"5,745","396,775",1.45,,,
Delaware,12/16/00,911,12/9/00,"7,278","396,775",1.83,,,
Delaware,12/23/00,"1,558",12/16/00,"6,405","396,775",1.61,,,
Delaware,12/30/00,"1,814",12/23/00,"6,730","396,775",1.7,,,
Delaware,1/6/01,"1,308",12/30/00,"8,578","396,775",2.16,,,
Delaware,1/13/01,"4,231",1/6/01,"7,930","399,497",1.98,,,
Delaware,1/20/01,"1,469",1/13/01,"10,596","399,497",2.65,,,
Delaware,1/27/01,983,1/20/01,"11,069","399,497",2.77,,,
Delaware,2/3/01,836,1/27/01,"9,113","399,497",2.28,,,
Delaware,2/10/01,"2,765",2/3/01,"8,794","399,497",2.2,,,
Delaware,2/17/01,952,2/10/01,"10,821","399,497",2.71,,,
Delaware,2/24/01,861,2/17/01,"11,156","399,497",2.79,,,
