State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
District of Columbia,1/1/00,329,12/25/99,"5,898","410,089",1.44,,,
District of Columbia,1/8/00,421,1/1/00,"6,271","410,326",1.53,,,
District of Columbia,1/15/00,517,1/8/00,"6,405","410,326",1.56,,,
District of Columbia,1/22/00,403,1/15/00,"6,165","410,326",1.5,,,
District of Columbia,1/29/00,369,1/22/00,"5,663","410,326",1.38,,,
District of Columbia,2/5/00,587,1/29/00,"6,333","410,326",1.54,,,
District of Columbia,2/12/00,514,2/5/00,"5,935","410,326",1.45,,,
District of Columbia,2/19/00,489,2/12/00,"6,410","410,326",1.56,,,
District of Columbia,2/26/00,353,2/19/00,"5,942","410,326",1.45,,,
District of Columbia,3/4/00,408,2/26/00,"6,102","410,326",1.49,,,
District of Columbia,3/11/00,369,3/4/00,"5,757","410,326",1.4,,,
District of Columbia,3/18/00,330,3/11/00,"6,110","410,326",1.49,,,
District of Columbia,3/25/00,411,3/18/00,"5,941","410,326",1.45,,,
District of Columbia,4/1/00,317,3/25/00,"5,741","410,326",1.4,,,
District of Columbia,4/8/00,438,4/1/00,"5,419","422,327",1.28,,,
District of Columbia,4/15/00,367,4/8/00,"5,666","422,327",1.34,,,
District of Columbia,4/22/00,255,4/15/00,"5,302","422,327",1.26,,,
District of Columbia,4/29/00,291,4/22/00,"5,606","422,327",1.33,,,
District of Columbia,5/6/00,298,4/29/00,"5,620","422,327",1.33,,,
District of Columbia,5/13/00,387,5/6/00,"5,308","422,327",1.26,,,
District of Columbia,5/20/00,392,5/13/00,"5,384","422,327",1.27,,,
District of Columbia,5/27/00,354,5/20/00,"5,349","422,327",1.27,,,
District of Columbia,6/3/00,361,5/27/00,"5,263","422,327",1.25,,,
District of Columbia,6/10/00,417,6/3/00,"5,505","422,327",1.3,,,
District of Columbia,6/17/00,366,6/10/00,"5,341","422,327",1.26,,,
District of Columbia,6/24/00,405,6/17/00,"5,463","422,327",1.29,,,
District of Columbia,7/1/00,353,6/24/00,"5,128","422,327",1.21,,,
District of Columbia,7/8/00,333,7/1/00,"5,111","428,610",1.19,,,
District of Columbia,7/15/00,394,7/8/00,"5,813","428,610",1.36,,,
District of Columbia,7/22/00,444,7/15/00,"5,682","428,610",1.33,,,
District of Columbia,7/29/00,346,7/22/00,"5,605","428,610",1.31,,,
District of Columbia,8/5/00,372,7/29/00,"5,721","428,610",1.33,,,
District of Columbia,8/12/00,453,8/5/00,"5,609","428,610",1.31,,,
District of Columbia,8/19/00,401,8/12/00,"5,930","428,610",1.38,,,
District of Columbia,8/26/00,423,8/19/00,"5,816","428,610",1.36,,,
District of Columbia,9/2/00,347,8/26/00,"6,066","428,610",1.42,,,
District of Columbia,9/9/00,291,9/2/00,"5,392","428,610",1.26,,,
District of Columbia,9/16/00,336,9/9/00,"5,879","428,610",1.37,,,
District of Columbia,9/23/00,253,9/16/00,"5,327","428,610",1.24,,,
District of Columbia,9/30/00,281,9/23/00,"5,329","428,610",1.24,,,
District of Columbia,10/7/00,327,9/30/00,"4,909","428,610",1.15,,,
District of Columbia,10/14/00,322,10/7/00,"5,058","434,814",1.16,,,
District of Columbia,10/21/00,328,10/14/00,"4,611","434,814",1.06,,,
District of Columbia,10/28/00,270,10/21/00,"5,213","434,814",1.2,,,
District of Columbia,11/4/00,353,10/28/00,"4,296","434,814",0.99,,,
