State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Georgia,1/1/00,"8,394",12/25/99,"36,046","3,662,478",0.98,,,
Georgia,1/8/00,"15,786",1/1/00,"46,059","3,678,657",1.25,,,
Georgia,1/15/00,"17,696",1/8/00,"47,890","3,678,657",1.3,,,
Georgia,1/22/00,"7,887",1/15/00,"37,185","3,678,657",1.01,,,
Georgia,1/29/00,"7,420",1/22/00,"35,990","3,678,657",0.98,,,
Georgia,2/5/00,"7,975",1/29/00,"35,653","3,678,657",0.97,,,
Georgia,2/12/00,"7,664",2/5/00,"35,755","3,678,657",0.97,,,
Georgia,2/19/00,"5,702",2/12/00,"32,975","3,678,657",0.9,,,
Georgia,2/26/00,"5,551",2/19/00,"32,474","3,678,657",0.88,,,
Georgia,3/4/00,"5,306",2/26/00,"30,580","3,678,657",0.83,,,
Georgia,3/11/00,"4,804",3/4/00,"31,826","3,678,657",0.87,,,
Georgia,3/18/00,"5,412",3/11/00,"30,606","3,678,657",0.83,,,
Georgia,3/25/00,"6,775",3/18/00,"31,274","3,678,657",0.85,,,
Georgia,4/1/00,"4,421",3/25/00,"29,083","3,678,657",0.79,,,
Georgia,4/8/00,"6,269",4/1/00,"29,362","3,689,070",0.8,,,
Georgia,4/15/00,"6,856",4/8/00,"30,467","3,689,070",0.83,,,
Georgia,4/22/00,"4,978",4/15/00,"28,611","3,689,070",0.78,,,
Georgia,4/29/00,"4,916",4/22/00,"28,166","3,689,070",0.76,,,
Georgia,5/6/00,"5,998",4/29/00,"28,831","3,689,070",0.78,,,
Georgia,5/13/00,"5,442",5/6/00,"28,480","3,689,070",0.77,,,
Georgia,5/20/00,"5,426",5/13/00,"28,153","3,689,070",0.76,,,
Georgia,5/27/00,"5,572",5/20/00,"28,828","3,689,070",0.78,,,
Georgia,6/3/00,"5,115",5/27/00,"28,162","3,689,070",0.76,,,
Georgia,6/10/00,"7,051",6/3/00,"30,248","3,689,070",0.82,,,
Georgia,6/17/00,"6,147",6/10/00,"30,697","3,689,070",0.83,,,
Georgia,6/24/00,"6,469",6/17/00,"31,146","3,689,070",0.84,,,
Georgia,7/1/00,"5,643",6/24/00,"31,800","3,689,070",0.86,,,
Georgia,7/8/00,"6,195",7/1/00,"31,116","3,725,496",0.84,,,
Georgia,7/15/00,"9,381",7/8/00,"35,939","3,725,496",0.96,,,
Georgia,7/22/00,"10,388",7/15/00,"37,594","3,725,496",1.01,,,
Georgia,7/29/00,"7,970",7/22/00,"36,136","3,725,496",0.97,,,
Georgia,8/5/00,"6,591",7/29/00,"34,122","3,725,496",0.92,,,
Georgia,8/12/00,"7,760",8/5/00,"36,592","3,725,496",0.98,,,
Georgia,8/19/00,"7,298",8/12/00,"35,506","3,725,496",0.95,,,
Georgia,8/26/00,"5,691",8/19/00,"33,518","3,725,496",0.9,,,
Georgia,9/2/00,"6,176",8/26/00,"34,254","3,725,496",0.92,,,
Georgia,9/9/00,"6,269",9/2/00,"33,873","3,725,496",0.91,,,
Georgia,9/16/00,"7,544",9/9/00,"34,881","3,725,496",0.94,,,
Georgia,9/23/00,"6,754",9/16/00,"33,865","3,725,496",0.91,,,
Georgia,9/30/00,"7,280",9/23/00,"34,244","3,725,496",0.92,,,
Georgia,10/7/00,"7,479",9/30/00,"33,672","3,725,496",0.9,,,
Georgia,10/14/00,"6,233",10/7/00,"32,881","3,755,403",0.88,,,
Georgia,10/21/00,"7,959",10/14/00,"35,299","3,755,403",0.94,,,
Georgia,10/28/00,"7,073",10/21/00,"34,842","3,755,403",0.93,,,
Georgia,11/4/00,"11,928",10/28/00,"39,433","3,755,403",1.05,,,
Georgia,11/11/00,"7,145",11/4/00,"35,376","3,755,403",0.94,,,
