State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Hawaii,1/1/00,"1,382",12/25/99,"9,149","502,614",1.82,,,
Hawaii,1/8/00,"2,880",1/1/00,"11,746","502,967",2.34,,,
Hawaii,1/15/00,"1,845",1/8/00,"10,519","502,967",2.09,,,
Hawaii,1/22/00,"1,571",1/15/00,"9,665","502,967",1.92,,,
Hawaii,1/29/00,"1,799",1/22/00,"9,818","502,967",1.95,,,
Hawaii,2/5/00,"1,615",1/29/00,"10,134","502,967",2.01,,,
Hawaii,2/12/00,"1,310",2/5/00,"9,188","502,967",1.83,,,
Hawaii,2/19/00,"1,300",2/12/00,"9,377","502,967",1.86,,,
Hawaii,2/26/00,"1,068",2/19/00,"8,602","502,967",1.71,,,
Hawaii,3/4/00,"1,505",2/26/00,"9,368","502,967",1.86,,,
Hawaii,3/11/00,"1,367",3/4/00,"8,775","502,967",1.74,,,
Hawaii,3/18/00,"1,217",3/11/00,"8,954","502,967",1.78,,,
Hawaii,3/25/00,"1,220",3/18/00,"8,546","502,967",1.7,,,
Hawaii,4/1/00,"1,116",3/25/00,"8,557","502,967",1.7,,,
Hawaii,4/8/00,"2,100",4/1/00,"8,747","504,319",1.73,,,
Hawaii,4/15/00,"1,598",4/8/00,"8,971","504,319",1.78,,,
Hawaii,4/22/00,"1,109",4/15/00,"7,888","504,319",1.56,,,
Hawaii,4/29/00,"1,241",4/22/00,"8,523","504,319",1.69,,,
Hawaii,5/6/00,"1,429",4/29/00,"8,072","504,319",1.6,,,
Hawaii,5/13/00,"1,431",5/6/00,"8,377","504,319",1.66,,,
Hawaii,5/20/00,"1,284",5/13/00,"8,272","504,319",1.64,,,
Hawaii,5/27/00,"1,206",5/20/00,"8,176","504,319",1.62,,,
Hawaii,6/3/00,"1,181",5/27/00,"8,021","504,319",1.59,,,
Hawaii,6/10/00,"1,311",6/3/00,"8,288","504,319",1.64,,,
Hawaii,6/17/00,"1,306",6/10/00,"8,095","504,319",1.61,,,
Hawaii,6/24/00,"1,452",6/17/00,"8,422","504,319",1.67,,,
Hawaii,7/1/00,"1,282",6/24/00,"8,383","504,319",1.66,,,
Hawaii,7/8/00,"1,670",7/1/00,"7,964","506,724",1.57,,,
Hawaii,7/15/00,"1,559",7/8/00,"9,249","506,724",1.83,,,
Hawaii,7/22/00,"1,271",7/15/00,"8,430","506,724",1.66,,,
Hawaii,7/29/00,"1,224",7/22/00,"8,538","506,724",1.68,,,
Hawaii,8/5/00,"1,321",7/29/00,"8,609","506,724",1.7,,,
Hawaii,8/12/00,"1,345",8/5/00,"8,269","506,724",1.63,,,
Hawaii,8/19/00,"1,114",8/12/00,"8,157","506,724",1.61,,,
Hawaii,8/26/00,"1,367",8/19/00,"8,686","506,724",1.71,,,
Hawaii,9/2/00,"1,243",8/26/00,"8,317","506,724",1.64,,,
Hawaii,9/9/00,"1,113",9/2/00,"7,454","506,724",1.47,,,
Hawaii,9/16/00,"1,199",9/9/00,"8,007","506,724",1.58,,,
