State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Idaho,1/1/00,"4,213",12/25/99,"16,139","516,868",3.12,,,
Idaho,1/8/00,"4,175",1/1/00,"19,106","520,777",3.67,,,
Idaho,1/15/00,"2,775",1/8/00,"18,904","520,777",3.63,,,
Idaho,1/22/00,"2,256",1/15/00,"19,150","520,777",3.68,,,
Idaho,1/29/00,"2,298",1/22/00,"19,333","520,777",3.71,,,
Idaho,2/5/00,"2,422",1/29/00,"19,576","520,777",3.76,,,
Idaho,2/12/00,"2,341",2/5/00,"19,436","520,777",3.73,,,
Idaho,2/19/00,"2,253",2/12/00,"19,863","520,777",3.81,,,
Idaho,2/26/00,"2,129",2/19/00,"19,215","520,777",3.69,,,
Idaho,3/4/00,"2,182",2/26/00,"19,413","520,777",3.73,,,
Idaho,3/11/00,"2,023",3/4/00,"18,813","520,777",3.61,,,
Idaho,3/18/00,"1,747",3/11/00,"18,282","520,777",3.51,,,
Idaho,3/25/00,"1,656",3/18/00,"17,096","520,777",3.28,,,
Idaho,4/1/00,"1,617",3/25/00,"15,693","520,777",3.01,,,
Idaho,4/8/00,"1,962",4/1/00,"14,682","525,032",2.8,,,
Idaho,4/15/00,"1,435",4/8/00,"13,564","525,032",2.58,,,
Idaho,4/22/00,"1,661",4/15/00,"12,681","525,032",2.42,,,
Idaho,4/29/00,"1,646",4/22/00,"12,081","525,032",2.3,,,
Idaho,5/6/00,"1,385",4/29/00,"11,288","525,032",2.15,,,
Idaho,5/13/00,"1,346",5/6/00,"10,704","525,032",2.04,,,
Idaho,5/20/00,"1,340",5/13/00,"10,186","525,032",1.94,,,
Idaho,5/27/00,"1,699",5/20/00,"9,292","525,032",1.77,,,
Idaho,6/3/00,"1,526",5/27/00,"9,542","525,032",1.82,,,
Idaho,6/10/00,"1,329",6/3/00,"9,145","525,032",1.74,,,
Idaho,6/17/00,"1,360",6/10/00,"8,547","525,032",1.63,,,
Idaho,6/24/00,"1,453",6/17/00,"8,636","525,032",1.64,,,
Idaho,7/1/00,"1,730",6/24/00,"8,438","525,032",1.61,,,
Idaho,7/8/00,"2,091",7/1/00,"8,733","529,384",1.65,,,
Idaho,7/15/00,"1,279",7/8/00,"9,842","529,384",1.86,,,
Idaho,7/22/00,"1,180",7/15/00,"8,603","529,384",1.63,,,
Idaho,7/29/00,"1,411",7/22/00,"8,093","529,384",1.53,,,
Idaho,8/5/00,"1,943",7/29/00,"8,412","529,384",1.59,,,
Idaho,8/12/00,"1,727",8/5/00,"8,759","529,384",1.65,,,
Idaho,8/19/00,"1,303",8/12/00,"8,952","529,384",1.69,,,
Idaho,8/26/00,"1,200",8/19/00,"8,285","529,384",1.57,,,
Idaho,9/2/00,"1,670",8/26/00,"8,100","529,384",1.53,,,
Idaho,9/9/00,"1,209",9/2/00,"7,925","529,384",1.5,,,
Idaho,9/16/00,"1,009",9/9/00,"7,676","529,384",1.45,,,
Idaho,9/23/00,919,9/16/00,"6,739","529,384",1.27,,,
Idaho,9/30/00,885,9/23/00,"6,463","529,384",1.22,,,
Idaho,10/7/00,"1,422",9/30/00,"6,049","529,384",1.14,,,
Idaho,10/14/00,"1,716",10/7/00,"6,427","534,063",1.2,,,
Idaho,10/21/00,"1,408",10/14/00,"7,042","534,063",1.32,,,
Idaho,10/28/00,"1,466",10/21/00,"7,201","534,063",1.35,,,
Idaho,11/4/00,"2,513",10/28/00,"7,499","534,063",1.4,,,
Idaho,11/11/00,"2,112",11/4/00,"8,738","534,063",1.64,,,
Idaho,11/18/00,"3,362",11/11/00,"9,574","534,063",1.79,,,
Idaho,11/25/00,"3,575",11/18/00,"11,019","534,063",2.06,,,
Idaho,12/2/00,"2,865",11/25/00,"13,962","534,063",2.61,,,
Idaho,12/9/00,"2,510",12/2/00,"13,810","534,063",2.59,,,
Idaho,12/16/00,"3,302",12/9/00,"14,539","534,063",2.72,,,
Idaho,12/23/00,"3,507",12/16/00,"16,512","534,063",3.09,,,
Idaho,12/30/00,"4,116",12/23/00,"17,615","534,063",3.3,,,
Idaho,1/6/01,"2,659",12/30/00,"21,433","534,063",4.01,,,
Idaho,1/13/01,"3,371",1/6/01,"20,054","539,997",3.71,,,
Idaho,1/20/01,"2,411",1/13/01,"19,540","539,997",3.62,,,
Idaho,1/27/01,"2,901",1/20/01,"20,503","539,997",3.8,,,
Idaho,2/3/01,"2,945",1/27/01,"21,212","539,997",3.93,,,
Idaho,2/10/01,"2,519",2/3/01,"22,513","539,997",4.17,,,
Idaho,2/17/01,"2,597",2/10/01,"21,709","539,997",4.02,,,
Idaho,2/24/01,"2,476",2/17/01,"22,105","539,997",4.09,,,
Idaho,3/3/01,"2,515",2/24/01,"22,516","539,997",4.17,,,
Idaho,3/10/01,"2,052",3/3/01,"22,143","539,997",4.1,,,
Idaho,3/17/01,"1,993",3/10/01,"20,365","539,997",3.77,,,
Idaho,3/24/01,"1,713",3/17/01,"19,775","539,997",3.66,,,
Idaho,3/31/01,"2,203",3/24/01,"17,832","539,997",3.3,,,
Idaho,4/7/01,"2,469",3/31/01,"17,715","539,997",3.28,,,
Idaho,4/14/01,"2,250",4/7/01,"16,730","545,376",3.07,,,
Idaho,4/21/01,"1,827",4/14/01,"17,040","545,376",3.12,,,
Idaho,4/28/01,"1,538",4/21/01,"15,790","545,376",2.9,,,
Idaho,5/5/01,"1,829",4/28/01,"15,289","545,376",2.8,,,
Idaho,5/12/01,"1,508",5/5/01,"14,736","545,376",2.7,,,
Idaho,5/19/01,"1,561",5/12/01,"13,829","545,376",2.54,,,
Idaho,5/26/01,"2,170",5/19/01,"13,181","545,376",2.42,,,
Idaho,6/2/01,"2,236",5/26/01,"13,318","545,376",2.44,,,
Idaho,6/9/01,"1,921",6/2/01,"13,814","545,376",2.53,,,
Idaho,6/16/01,"1,926",6/9/01,"12,470","545,376",2.29,,,
Idaho,6/23/01,"1,321",6/16/01,"12,515","545,376",2.29,,,
Idaho,6/30/01,"1,663",6/23/01,"12,124","545,376",2.22,,,
Idaho,7/7/01,"3,295",6/30/01,"11,723","545,376",2.15,,,
Idaho,7/14/01,"1,633",7/7/01,"14,084","550,075",2.56,,,
Idaho,7/21/01,"1,366",7/14/01,"11,961","550,075",2.17,,,
Idaho,7/28/01,"1,679",7/21/01,"11,621","550,075",2.11,,,
Idaho,8/4/01,"2,002",7/28/01,"11,650","550,075",2.12,,,
Idaho,8/11/01,"1,932",8/4/01,"12,333","550,075",2.24,,,
Idaho,8/18/01,"2,144",8/11/01,"12,348","550,075",2.24,,,
Idaho,8/25/01,"2,204",8/18/01,"12,631","550,075",2.3,,,
Idaho,9/1/01,"1,703",8/25/01,"12,862","550,075",2.34,,,
Idaho,9/8/01,"1,815",9/1/01,"12,050","550,075",2.19,,,
Idaho,9/15/01,"1,398",9/8/01,"11,961","550,075",2.17,,,
Idaho,9/22/01,"1,447",9/15/01,"11,352","550,075",2.06,,,
Idaho,9/29/01,"1,471",9/22/01,"10,851","550,075",1.97,,,
Idaho,10/6/01,"1,709",9/29/01,"10,900","550,075",1.98,,,
Idaho,10/13/01,"2,317",10/6/01,"10,877","554,790",1.96,,,
Idaho,10/20/01,"3,010",10/13/01,"11,809","554,790",2.13,,,
Idaho,10/27/01,"3,113",10/20/01,"13,260","554,790",2.39,,,
Idaho,11/3/01,"3,138",10/27/01,"14,257","554,790",2.57,,,
Idaho,11/10/01,"2,921",11/3/01,"15,332","554,790",2.76,,,
Idaho,11/17/01,"2,640",11/10/01,"15,958","554,790",2.88,,,
Idaho,11/24/01,"5,329",11/17/01,"16,533","554,790",2.98,,,
Idaho,12/1/01,"4,142",11/24/01,"20,912","554,790",3.77,,,
Idaho,12/8/01,"3,872",12/1/01,"20,408","554,790",3.68,,,
Idaho,12/15/01,"3,527",12/8/01,"21,958","554,790",3.96,,,
Idaho,12/22/01,"3,949",12/15/01,"22,974","554,790",4.14,,,
Idaho,12/29/01,"5,854",12/22/01,"23,930","554,790",4.31,,,
Idaho,1/5/02,"3,791",12/29/01,"29,632","554,790",5.34,,,
Idaho,1/12/02,"4,579",1/5/02,"29,623","557,071",5.32,,,
Idaho,1/19/02,"3,207",1/12/02,"27,845","557,071",5,,,
Idaho,1/26/02,"2,970",1/19/02,"28,667","557,071",5.15,,,
Idaho,2/2/02,"3,029",1/26/02,"28,983","557,071",5.2,,,
Idaho,2/9/02,"2,719",2/2/02,"29,509","557,071",5.3,,,
Idaho,2/16/02,"3,260",2/9/02,"28,974","557,071",5.2,,,
Idaho,2/23/02,"2,837",2/16/02,"29,201","557,071",5.24,,,
Idaho,3/2/02,"2,471",2/23/02,"29,252","557,071",5.25,,,
Idaho,3/9/02,"2,379",3/2/02,"28,278","557,071",5.08,,,
Idaho,3/16/02,"2,347",3/9/02,"27,625","557,071",4.96,,,
Idaho,3/23/02,"2,413",3/16/02,"26,673","557,071",4.79,,,
Idaho,3/30/02,"3,029",3/23/02,"25,097","557,071",4.51,,,
Idaho,4/6/02,"2,099",3/30/02,"24,961","557,071",4.48,,,
Idaho,4/13/02,"2,568",4/6/02,"22,227","558,649",3.98,,,
Idaho,4/20/02,"2,300",4/13/02,"20,890","558,649",3.74,,,
Idaho,4/27/02,"1,939",4/20/02,"20,788","558,649",3.72,,,
Idaho,5/4/02,"2,092",4/27/02,"19,442","558,649",3.48,,,
Idaho,5/11/02,"1,625",5/4/02,"19,084","558,649",3.42,,,
Idaho,5/18/02,"1,575",5/11/02,"17,117","558,649",3.06,,,
Idaho,5/25/02,"2,460",5/18/02,"16,176","558,649",2.9,,,
Idaho,6/1/02,"1,919",5/25/02,"16,127","558,649",2.89,,,
Idaho,6/8/02,"1,859",6/1/02,"15,846","558,649",2.84,,,
Idaho,6/15/02,"1,821",6/8/02,"14,706","558,649",2.63,,,
Idaho,6/22/02,"1,899",6/15/02,"14,329","558,649",2.56,,,
Idaho,6/29/02,"1,848",6/22/02,"14,244","558,649",2.55,,,
Idaho,7/6/02,"3,096",6/29/02,"14,023","558,649",2.51,,,
Idaho,7/13/02,"2,021",7/6/02,"16,009","558,413",2.87,,,
Idaho,7/20/02,"1,737",7/13/02,"13,733","558,413",2.46,,,
Idaho,7/27/02,"1,864",7/20/02,"13,363","558,413",2.39,,,
Idaho,8/3/02,"2,516",7/27/02,"13,508","558,413",2.42,,,
Idaho,8/10/02,"2,078",8/3/02,"14,383","558,413",2.58,,,
Idaho,8/17/02,"1,606",8/10/02,"14,400","558,413",2.58,,,
Idaho,8/24/02,"1,588",8/17/02,"13,604","558,413",2.44,,,
Idaho,8/31/02,"1,693",8/24/02,"12,343","558,413",2.21,,,
Idaho,9/7/02,"1,841",8/31/02,"12,238","558,413",2.19,,,
Idaho,9/14/02,"1,539",9/7/02,"12,234","558,413",2.19,,,
Idaho,9/21/02,"1,341",9/14/02,"11,030","558,413",1.98,,,
Idaho,9/28/02,"1,470",9/21/02,"10,741","558,413",1.92,,,
Idaho,10/5/02,"1,557",9/28/02,"10,693","558,413",1.91,,,
Idaho,10/12/02,"1,890",10/5/02,"10,815","556,690",1.94,,,
Idaho,10/19/02,"1,787",10/12/02,"10,769","556,690",1.93,,,
Idaho,10/26/02,"2,178",10/19/02,"11,456","556,690",2.06,,,
Idaho,11/2/02,"2,951",10/26/02,"11,808","556,690",2.12,,,
Idaho,11/9/02,"3,290",11/2/02,"13,527","556,690",2.43,,,
Idaho,11/16/02,"3,215",11/9/02,"14,364","556,690",2.58,,,
Idaho,11/23/02,"3,166",11/16/02,"15,975","556,690",2.87,,,
Idaho,11/30/02,"4,599",11/23/02,"17,148","556,690",3.08,,,
Idaho,12/7/02,"3,925",11/30/02,"21,226","556,690",3.81,,,
Idaho,12/14/02,"3,083",12/7/02,"20,059","556,690",3.6,,,
Idaho,12/21/02,"3,676",12/14/02,"20,702","556,690",3.72,,,
