State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Illinois,1/1/00,"16,642",12/25/99,"115,357","5,704,625",2.02,,,
Illinois,1/8/00,"24,083",1/1/00,"129,629","5,697,249",2.28,,,
Illinois,1/15/00,"16,850",1/8/00,"130,888","5,697,249",2.3,,,
Illinois,1/22/00,"12,478",1/15/00,"146,711","5,697,249",2.58,,,
Illinois,1/29/00,"15,165",1/22/00,"131,486","5,697,249",2.31,,,
Illinois,2/5/00,"14,028",1/29/00,"139,962","5,697,249",2.46,,,
Illinois,2/12/00,"9,916",2/5/00,"135,195","5,697,249",2.37,,,
Illinois,2/19/00,"11,233",2/12/00,"143,300","5,697,249",2.52,,,
Illinois,2/26/00,"8,879",2/19/00,"134,212","5,697,249",2.36,,,
Illinois,3/4/00,"10,155",2/26/00,"137,241","5,697,249",2.41,,,
Illinois,3/11/00,"9,396",3/4/00,"128,265","5,697,249",2.25,,,
Illinois,3/18/00,"9,283",3/11/00,"128,133","5,697,249",2.25,,,
Illinois,3/25/00,"9,221",3/18/00,"119,701","5,697,249",2.1,,,
Illinois,4/1/00,"8,987",3/25/00,"118,723","5,697,249",2.08,,,
Illinois,4/8/00,"10,437",4/1/00,"110,006","5,737,989",1.92,,,
Illinois,4/15/00,"9,193",4/8/00,"106,967","5,737,989",1.86,,,
Illinois,4/22/00,"9,664",4/15/00,"101,064","5,737,989",1.76,,,
Illinois,4/29/00,"9,401",4/22/00,"97,969","5,737,989",1.71,,,
Illinois,5/6/00,"9,841",4/29/00,"95,396","5,737,989",1.66,,,
Illinois,5/13/00,"9,269",5/6/00,"91,460","5,737,989",1.59,,,
Illinois,5/20/00,"9,118",5/13/00,"89,872","5,737,989",1.57,,,
Illinois,5/27/00,"9,033",5/20/00,"88,533","5,737,989",1.54,,,
Illinois,6/3/00,"10,345",5/27/00,"87,219","5,737,989",1.52,,,
Illinois,6/10/00,"11,430",6/3/00,"88,580","5,737,989",1.54,,,
Illinois,6/17/00,"11,150",6/10/00,"88,644","5,737,989",1.54,,,
Illinois,6/24/00,"10,506",6/17/00,"92,981","5,737,989",1.62,,,
Illinois,7/1/00,"10,285",6/24/00,"91,088","5,737,989",1.59,,,
Illinois,7/8/00,"11,136",7/1/00,"91,215","5,756,868",1.58,,,
Illinois,7/15/00,"11,901",7/8/00,"93,667","5,756,868",1.63,,,
Illinois,7/22/00,"10,263",7/15/00,"96,205","5,756,868",1.67,,,
Illinois,7/29/00,"9,409",7/22/00,"94,419","5,756,868",1.64,,,
Illinois,8/5/00,"9,843",7/29/00,"92,368","5,756,868",1.6,,,
Illinois,8/12/00,"12,843",8/5/00,"92,083","5,756,868",1.6,,,
Illinois,8/19/00,"9,202",8/12/00,"91,984","5,756,868",1.6,,,
Illinois,8/26/00,"9,061",8/19/00,"95,920","5,756,868",1.67,,,
