State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Indiana,1/1/00,"7,250",12/25/99,"25,112","2,831,783",0.89,,,
Indiana,1/8/00,"13,526",1/1/00,"47,858","2,845,440",1.68,,,
Indiana,1/15/00,"5,779",1/8/00,"45,739","2,845,440",1.61,,,
Indiana,1/22/00,"4,909",1/15/00,"39,131","2,845,440",1.38,,,
Indiana,1/29/00,"6,300",1/22/00,"41,388","2,845,440",1.45,,,
Indiana,2/5/00,"4,833",1/29/00,"41,556","2,845,440",1.46,,,
Indiana,2/12/00,"4,292",2/5/00,"42,544","2,845,440",1.5,,,
Indiana,2/19/00,"3,874",2/12/00,"41,127","2,845,440",1.45,,,
Indiana,2/26/00,"4,142",2/19/00,"39,894","2,845,440",1.4,,,
Indiana,3/4/00,"3,715",2/26/00,"39,737","2,845,440",1.4,,,
Indiana,3/11/00,"3,547",3/4/00,"37,919","2,845,440",1.33,,,
Indiana,3/18/00,"3,351",3/11/00,"36,083","2,845,440",1.27,,,
Indiana,3/25/00,"3,173",3/18/00,"34,247","2,845,440",1.2,,,
Indiana,4/1/00,"3,264",3/25/00,"32,084","2,845,440",1.13,,,
Indiana,4/8/00,"3,825",4/1/00,"29,496","2,861,183",1.03,,,
Indiana,4/15/00,"3,065",4/8/00,"28,811","2,861,183",1.01,,,
Indiana,4/22/00,"3,043",4/15/00,"25,288","2,861,183",0.88,,,
Indiana,4/29/00,"3,286",4/22/00,"26,786","2,861,183",0.94,,,
Indiana,5/6/00,"3,264",4/29/00,"24,542","2,861,183",0.86,,,
Indiana,5/13/00,"4,038",5/6/00,"24,205","2,861,183",0.85,,,
Indiana,5/20/00,"4,059",5/13/00,"24,097","2,861,183",0.84,,,
Indiana,5/27/00,"4,217",5/20/00,"23,777","2,861,183",0.83,,,
Indiana,6/3/00,"3,812",5/27/00,"23,641","2,861,183",0.83,,,
Indiana,6/10/00,"4,402",6/3/00,"25,253","2,861,183",0.88,,,
Indiana,6/17/00,"4,082",6/10/00,"26,188","2,861,183",0.92,,,
Indiana,6/24/00,"3,804",6/17/00,"26,203","2,861,183",0.92,,,
Indiana,7/1/00,"5,377",6/24/00,"26,337","2,861,183",0.92,,,
Indiana,7/8/00,"11,129",7/1/00,"26,179","2,874,314",0.91,,,
Indiana,7/15/00,"7,985",7/8/00,"32,749","2,874,314",1.14,,,
Indiana,7/22/00,"4,246",7/15/00,"34,395","2,874,314",1.2,,,
Indiana,7/29/00,"4,664",7/22/00,"30,519","2,874,314",1.06,,,
Indiana,8/5/00,"4,283",7/29/00,"29,030","2,874,314",1.01,,,
Indiana,8/12/00,"4,774",8/5/00,"28,178","2,874,314",0.98,,,
Indiana,8/19/00,"4,146",8/12/00,"28,507","2,874,314",0.99,,,
Indiana,8/26/00,"3,772",8/19/00,"27,624","2,874,314",0.96,,,
Indiana,9/2/00,"4,180",8/26/00,"26,571","2,874,314",0.92,,,
Indiana,9/9/00,"3,508",9/2/00,"24,619","2,874,314",0.86,,,
Indiana,9/16/00,"3,826",9/9/00,"25,035","2,874,314",0.87,,,
Indiana,9/23/00,"3,981",9/16/00,"25,034","2,874,314",0.87,,,
Indiana,9/30/00,"3,723",9/23/00,"25,549","2,874,314",0.89,,,
Indiana,10/7/00,"4,438",9/30/00,"25,374","2,874,314",0.88,,,
Indiana,10/14/00,"3,424",10/7/00,"24,865","2,883,621",0.86,,,
Indiana,10/21/00,"4,000",10/14/00,"26,013","2,883,621",0.9,,,
Indiana,10/28/00,"4,237",10/21/00,"26,223","2,883,621",0.91,,,
