State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Iowa,1/1/2000,"8,361",12/25/1999,"25,626","1,389,092",1.84,,,
Iowa,1/8/2000,"8,889",1/1/2000,"32,519","1,396,002",2.33,,,
Iowa,1/15/2000,"3,512",1/8/2000,"31,341","1,396,002",2.25,,,
Iowa,1/22/2000,"3,004",1/15/2000,"29,221","1,396,002",2.09,,,
Iowa,1/29/2000,"3,249",1/22/2000,"30,141","1,396,002",2.16,,,
Iowa,2/5/2000,"2,782",1/29/2000,"30,604","1,396,002",2.19,,,
Iowa,2/12/2000,"2,248",2/5/2000,"30,432","1,396,002",2.18,,,
Iowa,2/19/2000,"2,721",2/12/2000,"29,890","1,396,002",2.14,,,
Iowa,2/26/2000,"2,115",2/19/2000,"30,214","1,396,002",2.16,,,
Iowa,3/4/2000,"2,752",2/26/2000,"29,063","1,396,002",2.08,,,
Iowa,3/11/2000,"2,080",3/4/2000,"27,855","1,396,002",2,,,
Iowa,3/18/2000,"1,871",3/11/2000,"25,753","1,396,002",1.84,,,
Iowa,3/25/2000,"1,594",3/18/2000,"23,621","1,396,002",1.69,,,
Iowa,4/1/2000,"1,485",3/25/2000,"21,988","1,396,002",1.58,,,
Iowa,4/8/2000,"2,197",4/1/2000,"19,116","1,402,693",1.36,,,
Iowa,4/15/2000,"1,770",4/8/2000,"17,906","1,402,693",1.28,,,
Iowa,4/22/2000,"1,761",4/15/2000,"16,863","1,402,693",1.2,,,
Iowa,4/29/2000,"1,716",4/22/2000,"16,121","1,402,693",1.15,,,
Iowa,5/6/2000,"1,807",4/29/2000,"14,839","1,402,693",1.06,,,
Iowa,5/13/2000,"1,807",5/6/2000,"14,332","1,402,693",1.02,,,
Iowa,5/20/2000,"1,687",5/13/2000,"14,052","1,402,693",1,,,
Iowa,5/27/2000,"2,121",5/20/2000,"13,864","1,402,693",0.99,,,
Iowa,6/3/2000,"2,185",5/27/2000,"13,693","1,402,693",0.98,,,
Iowa,6/10/2000,"1,975",6/3/2000,"14,307","1,402,693",1.02,,,
Iowa,6/17/2000,"2,600",6/10/2000,"14,234","1,402,693",1.01,,,
Iowa,6/24/2000,"1,776",6/17/2000,"15,141","1,402,693",1.08,,,
Iowa,7/1/2000,"1,665",6/24/2000,"14,460","1,402,693",1.03,,,
Iowa,7/8/2000,"5,374",7/1/2000,"14,079","1,411,479",1,,,
Iowa,7/15/2000,"2,462",7/8/2000,"18,204","1,411,479",1.29,,,
Iowa,7/22/2000,"1,833",7/15/2000,"15,563","1,411,479",1.1,,,
Iowa,7/29/2000,"1,808",7/22/2000,"14,733","1,411,479",1.04,,,
Iowa,8/5/2000,"1,597",7/29/2000,"14,961","1,411,479",1.06,,,
Iowa,8/12/2000,"1,634",8/5/2000,"13,989","1,411,479",0.99,,,
Iowa,8/19/2000,"1,555",8/12/2000,"14,155","1,411,479",1,,,
Iowa,8/26/2000,"1,742",8/19/2000,"13,892","1,411,479",0.98,,,
Iowa,9/2/2000,"1,956",8/26/2000,"13,144","1,411,479",0.93,,,
Iowa,9/9/2000,"1,337",9/2/2000,"12,991","1,411,479",0.92,,,
Iowa,9/16/2000,"1,504",9/9/2000,"12,231","1,411,479",0.87,,,
Iowa,9/23/2000,"1,652",9/16/2000,"11,992","1,411,479",0.85,,,
Iowa,9/30/2000,"2,207",9/23/2000,"11,992","1,411,479",0.85,,,
Iowa,10/7/2000,"2,161",9/30/2000,"12,523","1,416,374",0.88,,,
Iowa,10/14/2000,"2,073",10/7/2000,"12,540","1,416,374",0.89,,,
Iowa,10/21/2000,"2,111",10/14/2000,"12,740","1,416,374",0.9,,,
Iowa,10/28/2000,"2,339",10/21/2000,"12,900","1,416,374",0.91,,,
Iowa,11/4/2000,"3,044",10/28/2000,"13,366","1,416,374",0.94,,,
Iowa,11/11/2000,"2,938",11/4/2000,"13,864","1,416,374",0.98,,,
Iowa,11/18/2000,"4,677",11/11/2000,"15,434","1,416,374",1.09,,,
Iowa,11/25/2000,"5,649",11/18/2000,"16,772","1,416,374",1.18,,,
Iowa,12/2/2000,"4,211",11/25/2000,"22,138","1,416,374",1.56,,,
Iowa,12/9/2000,"4,411",12/2/2000,"20,417","1,416,374",1.44,,,
Iowa,12/16/2000,"6,067",12/9/2000,"22,809","1,416,374",1.61,,,
Iowa,12/23/2000,"8,403",12/16/2000,"27,334","1,416,374",1.93,,,
Iowa,12/30/2000,"14,201",12/23/2000,"32,637","1,416,374",2.3,,,
Iowa,1/6/2001,"3,925",12/30/2000,"43,926","1,416,374",3.1,,,
Iowa,1/13/2001,"5,233",1/6/2001,"37,192","1,417,670",2.62,,,
Iowa,1/20/2001,"3,597",1/13/2001,"34,093","1,417,670",2.4,,,
Iowa,1/27/2001,"3,284",1/20/2001,"35,015","1,417,670",2.47,,,
Iowa,2/3/2001,"3,145",1/27/2001,"34,207","1,417,670",2.41,,,
Iowa,2/10/2001,"3,060",2/3/2001,"35,151","1,417,670",2.48,,,
Iowa,2/17/2001,"3,424",2/10/2001,"35,002","1,417,670",2.47,,,
Iowa,2/24/2001,"2,682",2/17/2001,"35,342","1,417,670",2.49,,,
Iowa,3/3/2001,"2,957",2/24/2001,"35,020","1,417,670",2.47,,,
Iowa,3/10/2001,"2,695",3/3/2001,"34,202","1,417,670",2.41,,,
Iowa,3/17/2001,"2,740",3/10/2001,"33,567","1,417,670",2.37,,,
Iowa,3/24/2001,"2,838",3/17/2001,"33,746","1,417,670",2.38,,,
Iowa,3/31/2001,"3,695",3/24/2001,"31,834","1,417,670",2.25,,,
Iowa,4/7/2001,"3,210",3/31/2001,"31,112","1,417,670",2.19,,,
Iowa,4/14/2001,"2,243",4/7/2001,"27,801","1,419,981",1.96,,,
Iowa,4/21/2001,"3,041",4/14/2001,"26,083","1,419,981",1.84,,,
Iowa,4/28/2001,"6,359",4/21/2001,"24,067","1,419,981",1.69,,,
Iowa,5/5/2001,"2,761",4/28/2001,"25,601","1,419,981",1.8,,,
Iowa,5/12/2001,"2,337",5/5/2001,"22,412","1,419,981",1.58,,,
Iowa,5/19/2001,"3,573",5/12/2001,"21,179","1,419,981",1.49,,,
Iowa,5/26/2001,"2,968",5/19/2001,"21,847","1,419,981",1.54,,,
Iowa,6/2/2001,"2,498",5/26/2001,"21,005","1,419,981",1.48,,,
Iowa,6/9/2001,"3,337",6/2/2001,"20,557","1,419,981",1.45,,,
Iowa,6/16/2001,"3,273",6/9/2001,"21,067","1,419,981",1.48,,,
Iowa,6/23/2001,"2,582",6/16/2001,"21,287","1,419,981",1.5,,,
Iowa,6/30/2001,"4,284",6/23/2001,"20,425","1,419,981",1.44,,,
Iowa,7/7/2001,"10,344",6/30/2001,"21,938","1,419,981",1.54,,,
Iowa,7/14/2001,"3,731",7/7/2001,"28,782","1,421,409",2.02,,,
Iowa,7/21/2001,"3,234",7/14/2001,"22,928","1,421,409",1.61,,,
Iowa,7/28/2001,"3,162",7/21/2001,"22,406","1,421,409",1.58,,,
Iowa,8/4/2001,"2,967",7/28/2001,"22,580","1,421,409",1.59,,,
Iowa,8/11/2001,"4,049",8/4/2001,"22,164","1,421,409",1.56,,,
Iowa,8/18/2001,"2,248",8/11/2001,"22,860","1,421,409",1.61,,,
Iowa,8/25/2001,"2,461",8/18/2001,"20,808","1,421,409",1.46,,,
Iowa,9/1/2001,"2,413",8/25/2001,"20,282","1,421,409",1.43,,,
Iowa,9/8/2001,"2,608",9/1/2001,"18,870","1,421,409",1.33,,,
Iowa,9/15/2001,"4,496",9/8/2001,"19,227","1,421,409",1.35,,,
Iowa,9/22/2001,"3,480",9/15/2001,"20,791","1,421,409",1.46,,,
Iowa,9/29/2001,"4,421",9/22/2001,"20,669","1,421,409",1.45,,,
Iowa,10/6/2001,"4,096",9/29/2001,"21,704","1,421,409",1.53,,,
Iowa,10/13/2001,"3,557",10/6/2001,"21,448","1,421,090",1.51,,,
Iowa,10/20/2001,"5,222",10/13/2001,"21,487","1,421,090",1.51,,,
Iowa,10/27/2001,"4,544",10/20/2001,"23,906","1,421,090",1.68,,,
Iowa,11/3/2001,"3,554",10/27/2001,"25,213","1,421,090",1.77,,,
Iowa,11/10/2001,"3,976",11/3/2001,"23,574","1,421,090",1.66,,,
Iowa,11/17/2001,"3,895",11/10/2001,"24,107","1,421,090",1.7,,,
Iowa,11/24/2001,"7,852",11/17/2001,"24,134","1,421,090",1.7,,,
Iowa,12/1/2001,"7,039",11/24/2001,"31,350","1,421,090",2.21,,,
Iowa,12/8/2001,"4,629",12/1/2001,"29,542","1,421,090",2.08,,,
Iowa,12/15/2001,"4,589",12/8/2001,"30,346","1,421,090",2.14,,,
Iowa,12/22/2001,"6,273",12/15/2001,"31,954","1,421,090",2.25,,,
Iowa,12/29/2001,"14,603",12/22/2001,"34,468","1,421,090",2.43,,,
Iowa,1/5/2002,"9,186",12/29/2001,"48,084","1,421,090",3.38,,,
Iowa,1/12/2002,"6,528",1/5/2002,"47,592","1,420,835",3.35,,,
Iowa,1/19/2002,"5,441",1/12/2002,"42,891","1,420,835",3.02,,,
Iowa,1/26/2002,"3,764",1/19/2002,"44,819","1,420,835",3.15,,,
Iowa,2/2/2002,"3,635",1/26/2002,"43,659","1,420,835",3.07,,,
Iowa,2/9/2002,"3,971",2/2/2002,"44,074","1,420,835",3.1,,,
Iowa,2/16/2002,"3,478",2/9/2002,"44,282","1,420,835",3.12,,,
Iowa,2/23/2002,"3,125",2/16/2002,"43,988","1,420,835",3.1,,,
Iowa,3/2/2002,"3,108",2/23/2002,"43,538","1,420,835",3.06,,,
Iowa,3/9/2002,"3,061",3/2/2002,"43,213","1,420,835",3.04,,,
Iowa,3/16/2002,"3,013",3/9/2002,"42,451","1,420,835",2.99,,,
Iowa,3/23/2002,"2,760",3/16/2002,"40,770","1,420,835",2.87,,,
Iowa,3/30/2002,"3,595",3/23/2002,"38,451","1,420,835",2.71,,,
Iowa,4/6/2002,"4,068",3/30/2002,"37,058","1,420,835",2.61,,,
Iowa,4/13/2002,"4,567",4/6/2002,"35,337","1,417,192",2.49,,,
Iowa,4/20/2002,"2,768",4/13/2002,"33,701","1,417,192",2.38,,,
Iowa,4/27/2002,"2,626",4/20/2002,"30,718","1,417,192",2.17,,,
Iowa,5/4/2002,"3,242",4/27/2002,"29,204","1,417,192",2.06,,,
Iowa,5/11/2002,"2,647",5/4/2002,"28,701","1,417,192",2.03,,,
Iowa,5/18/2002,"2,485",5/11/2002,"26,847","1,417,192",1.89,,,
Iowa,5/25/2002,"2,779",5/18/2002,"25,794","1,417,192",1.82,,,
Iowa,6/1/2002,"2,493",5/25/2002,"25,297","1,417,192",1.79,,,
Iowa,6/8/2002,"3,195",6/1/2002,"25,725","1,417,192",1.82,,,
Iowa,6/15/2002,"2,725",6/8/2002,"25,822","1,417,192",1.82,,,
Iowa,6/22/2002,"3,037",6/15/2002,"25,639","1,417,192",1.81,,,
Iowa,6/29/2002,"2,706",6/22/2002,"26,051","1,417,192",1.84,,,
Iowa,7/6/2002,"7,058",6/29/2002,"25,086","1,417,192",1.77,,,
Iowa,7/13/2002,"3,958",7/6/2002,"30,066","1,410,213",2.13,,,
Iowa,7/20/2002,"2,692",7/13/2002,"26,502","1,410,213",1.88,,,
Iowa,7/27/2002,"2,936",7/20/2002,"25,689","1,410,213",1.82,,,
Iowa,8/3/2002,"2,728",7/27/2002,"25,681","1,410,213",1.82,,,
Iowa,8/10/2002,"4,638",8/3/2002,"25,195","1,410,213",1.79,,,
Iowa,8/17/2002,"2,247",8/10/2002,"26,320","1,410,213",1.87,,,
Iowa,8/24/2002,"2,352",8/17/2002,"25,511","1,410,213",1.81,,,
Iowa,8/31/2002,"2,872",8/24/2002,"23,613","1,410,213",1.67,,,
Iowa,9/7/2002,"2,716",8/31/2002,"22,578","1,410,213",1.6,,,
Iowa,9/14/2002,"2,779",9/7/2002,"22,830","1,410,213",1.62,,,
Iowa,9/21/2002,"2,272",9/14/2002,"22,615","1,410,213",1.6,,,
Iowa,9/28/2002,"3,918",9/21/2002,"22,164","1,410,213",1.57,,,
Iowa,10/5/2002,"2,861",9/28/2002,"23,236","1,410,213",1.65,,,
Iowa,10/12/2002,"3,012",10/5/2002,"22,397","1,404,116",1.6,,,
Iowa,10/19/2002,"4,219",10/12/2002,"22,419","1,404,116",1.6,,,
Iowa,10/26/2002,"3,361",10/19/2002,"24,048","1,404,116",1.71,,,
Iowa,11/2/2002,"5,405",10/26/2002,"25,767","1,404,116",1.84,,,
Iowa,11/9/2002,"3,351",11/2/2002,"25,099","1,404,116",1.79,,,
Iowa,11/16/2002,"2,955",11/9/2002,"24,252","1,404,116",1.73,,,
Iowa,11/23/2002,"3,584",11/16/2002,"24,815","1,404,116",1.77,,,
Iowa,11/30/2002,"6,341",11/23/2002,"24,873","1,404,116",1.77,,,
Iowa,12/7/2002,"6,001",11/30/2002,"31,676","1,404,116",2.26,,,
Iowa,12/14/2002,"4,647",12/7/2002,"30,928","1,404,116",2.2,,,
Iowa,12/21/2002,"5,189",12/14/2002,"32,556","1,404,116",2.32,,,
Iowa,12/28/2002,"14,178",12/21/2002,"34,043","1,404,116",2.42,,,
Iowa,1/4/2003,"6,713",12/28/2002,"46,988","1,404,116",3.35,,,
Iowa,1/11/2003,"6,181",1/4/2003,"47,421","1,398,632",3.39,,,
Iowa,1/18/2003,"5,076",1/11/2003,"42,354","1,398,632",3.03,,,
Iowa,1/25/2003,"4,207",1/18/2003,"43,517","1,398,632",3.11,,,
Iowa,2/1/2003,"3,699",1/25/2003,"45,396","1,398,632",3.25,,,
Iowa,2/8/2003,"3,767",2/1/2003,"45,077","1,398,632",3.22,,,
Iowa,2/15/2003,"3,674",2/8/2003,"46,182","1,398,632",3.3,,,
Iowa,2/22/2003,"3,073",2/15/2003,"45,771","1,398,632",3.27,,,
Iowa,3/1/2003,"3,330",2/22/2003,"45,316","1,398,632",3.24,,,
Iowa,3/8/2003,"3,263",3/1/2003,"45,169","1,398,632",3.23,,,
Iowa,3/15/2003,"3,813",3/8/2003,"45,195","1,398,632",3.23,,,
Iowa,3/22/2003,"3,131",3/15/2003,"43,674","1,398,632",3.12,,,
Iowa,3/29/2003,"3,105",3/22/2003,"42,406","1,398,632",3.03,,,
Iowa,4/5/2003,"3,532",3/29/2003,"39,217","1,398,632",2.8,,,
Iowa,4/12/2003,"3,534",4/5/2003,"35,651","1,393,619",2.56,,,
Iowa,4/19/2003,"2,918",4/12/2003,"34,576","1,393,619",2.48,,,
Iowa,4/26/2003,"2,554",4/19/2003,"31,520","1,393,619",2.26,,,
Iowa,5/3/2003,"4,504",4/26/2003,"29,309","1,393,619",2.1,,,
Iowa,5/10/2003,"3,268",5/3/2003,"30,338","1,393,619",2.18,,,
Iowa,5/17/2003,"2,791",5/10/2003,"29,583","1,393,619",2.12,,,
Iowa,5/24/2003,"2,931",5/17/2003,"26,917","1,393,619",1.93,,,
Iowa,5/31/2003,"3,718",5/24/2003,"26,322","1,393,619",1.89,,,
Iowa,6/7/2003,"3,587",5/31/2003,"27,667","1,393,619",1.99,,,
