State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Kansas,1/1/2000,"2,497",12/25/1999,"18,073","1,264,959",1.43,,,
Kansas,1/8/2000,"3,470",1/1/2000,"19,149","1,268,987",1.51,,,
Kansas,1/15/2000,"2,370",1/8/2000,"18,424","1,268,987",1.45,,,
Kansas,1/22/2000,"1,858",1/15/2000,"17,807","1,268,987",1.4,,,
Kansas,1/29/2000,"2,793",1/22/2000,"17,663","1,268,987",1.39,,,
Kansas,2/5/2000,"2,827",1/29/2000,"18,772","1,268,987",1.48,,,
Kansas,2/12/2000,"1,774",2/5/2000,"18,970","1,268,987",1.49,,,
Kansas,2/19/2000,"1,702",2/12/2000,"18,086","1,268,987",1.43,,,
Kansas,2/26/2000,"1,928",2/19/2000,"17,980","1,268,987",1.42,,,
Kansas,3/4/2000,"4,426",2/26/2000,"18,116","1,268,987",1.43,,,
Kansas,3/11/2000,"1,676",3/4/2000,"19,491","1,268,987",1.54,,,
Kansas,3/18/2000,"1,856",3/11/2000,"16,787","1,268,987",1.32,,,
Kansas,3/25/2000,"2,068",3/18/2000,"16,778","1,268,987",1.32,,,
Kansas,4/1/2000,"1,598",3/25/2000,"16,807","1,268,987",1.32,,,
Kansas,4/8/2000,"2,290",4/1/2000,"15,305","1,272,738",1.2,,,
Kansas,4/15/2000,"1,579",4/8/2000,"15,441","1,272,738",1.21,,,
Kansas,4/22/2000,"1,484",4/15/2000,"14,995","1,272,738",1.18,,,
Kansas,4/29/2000,"1,478",4/22/2000,"14,609","1,272,738",1.15,,,
Kansas,5/6/2000,"1,634",4/29/2000,"14,234","1,272,738",1.12,,,
Kansas,5/13/2000,"1,479",5/6/2000,"14,169","1,272,738",1.11,,,
Kansas,5/20/2000,"1,538",5/13/2000,"14,119","1,272,738",1.11,,,
Kansas,5/27/2000,"1,802",5/20/2000,"13,896","1,272,738",1.09,,,
Kansas,6/3/2000,"2,138",5/27/2000,"13,967","1,272,738",1.1,,,
Kansas,6/10/2000,"1,864",6/3/2000,"14,488","1,272,738",1.14,,,
Kansas,6/17/2000,"1,879",6/10/2000,"14,104","1,272,738",1.11,,,
Kansas,6/24/2000,"1,691",6/17/2000,"14,445","1,272,738",1.13,,,
Kansas,7/1/2000,"1,753",6/24/2000,"14,424","1,272,738",1.13,,,
Kansas,7/8/2000,"2,824",7/1/2000,"14,015","1,273,634",1.1,,,
Kansas,7/15/2000,"2,066",7/8/2000,"15,656","1,273,634",1.23,,,
Kansas,7/22/2000,"1,969",7/15/2000,"15,075","1,273,634",1.18,,,
Kansas,7/29/2000,"1,737",7/22/2000,"14,961","1,273,634",1.17,,,
Kansas,8/5/2000,"1,724",7/29/2000,"14,709","1,273,634",1.15,,,
Kansas,8/12/2000,"1,734",8/5/2000,"14,474","1,273,634",1.14,,,
Kansas,8/19/2000,"1,775",8/12/2000,"14,721","1,273,634",1.16,,,
Kansas,8/26/2000,"1,625",8/19/2000,"14,598","1,273,634",1.15,,,
Kansas,9/2/2000,"1,698",8/26/2000,"14,151","1,273,634",1.11,,,
Kansas,9/9/2000,"1,408",9/2/2000,"13,904","1,273,634",1.09,,,
Kansas,9/16/2000,"1,547",9/9/2000,"13,876","1,273,634",1.09,,,
Kansas,9/23/2000,"1,549",9/16/2000,"13,670","1,273,634",1.07,,,
Kansas,9/30/2000,"1,563",9/23/2000,"13,620","1,273,634",1.07,,,
Kansas,10/7/2000,"3,911",9/30/2000,"13,459","1,276,012",1.05,,,
Kansas,10/14/2000,"1,773",10/7/2000,"15,502","1,276,012",1.21,,,
Kansas,10/21/2000,"1,624",10/14/2000,"13,596","1,276,012",1.07,,,
Kansas,10/28/2000,"2,544",10/21/2000,"13,476","1,276,012",1.06,,,
Kansas,11/4/2000,"2,409",10/28/2000,"14,358","1,276,012",1.13,,,
Kansas,11/11/2000,"2,334",11/4/2000,"14,190","1,276,012",1.11,,,
Kansas,11/18/2000,"3,061",11/11/2000,"15,446","1,276,012",1.21,,,
Kansas,11/25/2000,"1,728",11/18/2000,"14,324","1,276,012",1.12,,,
Kansas,12/2/2000,"2,434",11/25/2000,"16,144","1,276,012",1.27,,,
Kansas,12/9/2000,"2,518",12/2/2000,"15,134","1,276,012",1.19,,,
Kansas,12/16/2000,"5,471",12/9/2000,"15,783","1,276,012",1.24,,,
