State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Kentucky,1/1/2000,"15,803",12/25/1999,"25,523","1,665,500",1.53,,,
Kentucky,1/8/2000,"9,427",1/1/2000,"35,390","1,675,129",2.11,,,
Kentucky,1/15/2000,"5,444",1/8/2000,"40,521","1,675,129",2.42,,,
Kentucky,1/22/2000,"4,512",1/15/2000,"34,056","1,675,129",2.03,,,
Kentucky,1/29/2000,"5,761",1/22/2000,"28,811","1,675,129",1.72,,,
Kentucky,2/5/2000,"4,922",1/29/2000,"34,902","1,675,129",2.08,,,
Kentucky,2/12/2000,"3,558",2/5/2000,"32,022","1,675,129",1.91,,,
Kentucky,2/19/2000,"2,315",2/12/2000,"34,190","1,675,129",2.04,,,
Kentucky,2/26/2000,"3,139",2/19/2000,"28,566","1,675,129",1.71,,,
Kentucky,3/4/2000,"3,155",2/26/2000,"31,550","1,675,129",1.88,,,
Kentucky,3/11/2000,"2,587",3/4/2000,"26,593","1,675,129",1.59,,,
Kentucky,3/18/2000,"2,810",3/11/2000,"28,725","1,675,129",1.71,,,
Kentucky,3/25/2000,"2,779",3/18/2000,"24,137","1,675,129",1.44,,,
Kentucky,4/1/2000,"2,589",3/25/2000,"25,538","1,675,129",1.52,,,
Kentucky,4/8/2000,"4,102",4/1/2000,"22,201","1,684,845",1.32,,,
Kentucky,4/15/2000,"3,092",4/8/2000,"23,916","1,684,845",1.42,,,
Kentucky,4/22/2000,"2,967",4/15/2000,"22,550","1,684,845",1.34,,,
Kentucky,4/29/2000,"3,094",4/22/2000,"22,218","1,684,845",1.32,,,
Kentucky,5/6/2000,"4,635",4/29/2000,"21,452","1,684,845",1.27,,,
Kentucky,5/13/2000,"2,597",5/6/2000,"22,696","1,684,845",1.35,,,
Kentucky,5/20/2000,"3,198",5/13/2000,"21,456","1,684,845",1.27,,,
Kentucky,5/27/2000,"3,327",5/20/2000,"20,604","1,684,845",1.22,,,
Kentucky,6/3/2000,"4,579",5/27/2000,"20,859","1,684,845",1.24,,,
Kentucky,6/10/2000,"3,223",6/3/2000,"22,171","1,684,845",1.32,,,
Kentucky,6/17/2000,"2,685",6/10/2000,"22,257","1,684,845",1.32,,,
Kentucky,6/24/2000,"3,019",6/17/2000,"21,767","1,684,845",1.29,,,
Kentucky,7/1/2000,"3,481",6/24/2000,"21,481","1,684,845",1.27,,,
Kentucky,7/8/2000,"9,785",7/1/2000,"15,481","1,694,801",0.91,,,
Kentucky,7/15/2000,"7,245",7/8/2000,"24,761","1,694,801",1.46,,,
Kentucky,7/22/2000,"5,834",7/15/2000,"32,398","1,694,801",1.91,,,
Kentucky,7/29/2000,"3,638",7/22/2000,"26,658","1,694,801",1.57,,,
Kentucky,8/5/2000,"3,671",7/29/2000,"24,943","1,694,801",1.47,,,
Kentucky,8/12/2000,"3,255",8/5/2000,"22,807","1,694,801",1.35,,,
Kentucky,8/19/2000,"2,920",8/12/2000,"23,523","1,694,801",1.39,,,
Kentucky,8/26/2000,"3,287",8/19/2000,"21,729","1,694,801",1.28,,,
Kentucky,9/2/2000,"3,030",8/26/2000,"22,242","1,694,801",1.31,,,
Kentucky,9/9/2000,"3,228",9/2/2000,"20,743","1,694,801",1.22,,,
Kentucky,9/16/2000,"3,204",9/9/2000,"22,496","1,694,801",1.33,,,
Kentucky,9/23/2000,"2,868",9/16/2000,"21,135","1,694,801",1.25,,,
Kentucky,9/30/2000,"4,321",9/23/2000,"22,183","1,694,801",1.31,,,
Kentucky,10/7/2000,"5,027",9/30/2000,"20,391","1,706,625",1.19,,,
Kentucky,10/14/2000,"4,375",10/7/2000,"25,135","1,706,625",1.47,,,
Kentucky,10/21/2000,"3,524",10/14/2000,"22,901","1,706,625",1.34,,,
Kentucky,10/28/2000,"3,714",10/21/2000,"22,384","1,706,625",1.31,,,
Kentucky,11/4/2000,"4,156",10/28/2000,"22,985","1,706,625",1.35,,,
Kentucky,11/11/2000,"6,211",11/4/2000,"21,252","1,706,625",1.25,,,
