State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Louisiana,1/1/2000,"2,156",12/25/1999,"25,037","1,809,570",1.38,,,
Louisiana,1/8/2000,"4,912",1/1/2000,"25,691","1,808,195",1.42,,,
Louisiana,1/15/2000,"3,657",1/8/2000,"26,587","1,808,195",1.47,,,
Louisiana,1/22/2000,"2,809",1/15/2000,"25,830","1,808,195",1.43,,,
Louisiana,1/29/2000,"3,043",1/22/2000,"25,537","1,808,195",1.41,,,
Louisiana,2/5/2000,"3,094",1/29/2000,"25,203","1,808,195",1.39,,,
Louisiana,2/12/2000,"2,587",2/5/2000,"25,439","1,808,195",1.41,,,
Louisiana,2/19/2000,"2,393",2/12/2000,"24,498","1,808,195",1.35,,,
Louisiana,2/26/2000,"2,321",2/19/2000,"23,885","1,808,195",1.32,,,
Louisiana,3/4/2000,"2,747",2/26/2000,"23,171","1,808,195",1.28,,,
Louisiana,3/11/2000,"2,164",3/4/2000,"22,753","1,808,195",1.26,,,
Louisiana,3/18/2000,"2,613",3/11/2000,"22,697","1,808,195",1.26,,,
Louisiana,3/25/2000,"2,568",3/18/2000,"22,580","1,808,195",1.25,,,
Louisiana,4/1/2000,"2,389",3/25/2000,"22,359","1,808,195",1.24,,,
Louisiana,4/8/2000,"3,193",4/1/2000,"22,128","1,808,506",1.22,,,
Louisiana,4/15/2000,"2,651",4/8/2000,"22,389","1,808,506",1.24,,,
Louisiana,4/22/2000,"2,274",4/15/2000,"21,900","1,808,506",1.21,,,
Louisiana,4/29/2000,"2,800",4/22/2000,"22,252","1,808,506",1.23,,,
Louisiana,5/6/2000,"2,975",4/29/2000,"21,995","1,808,506",1.22,,,
Louisiana,5/13/2000,"2,783",5/6/2000,"21,896","1,808,506",1.21,,,
Louisiana,5/20/2000,"3,205",5/13/2000,"21,761","1,808,506",1.2,,,
Louisiana,5/27/2000,"3,437",5/20/2000,"22,596","1,808,506",1.25,,,
Louisiana,6/3/2000,"3,849",5/27/2000,"22,924","1,808,506",1.27,,,
Louisiana,6/10/2000,"4,073",6/3/2000,"24,608","1,808,506",1.36,,,
Louisiana,6/17/2000,"3,509",6/10/2000,"26,249","1,808,506",1.45,,,
Louisiana,6/24/2000,"3,149",6/17/2000,"26,302","1,808,506",1.45,,,
Louisiana,7/1/2000,"3,066",6/24/2000,"27,176","1,808,506",1.5,,,
Louisiana,7/8/2000,"3,312",7/1/2000,"26,542","1,811,740",1.47,,,
Louisiana,7/15/2000,"3,464",7/8/2000,"27,100","1,811,740",1.5,,,
Louisiana,7/22/2000,"3,297",7/15/2000,"26,910","1,811,740",1.49,,,
Louisiana,7/29/2000,"2,704",7/22/2000,"27,058","1,811,740",1.49,,,
Louisiana,8/5/2000,"2,937",7/29/2000,"26,609","1,811,740",1.47,,,
Louisiana,8/12/2000,"2,832",8/5/2000,"26,098","1,811,740",1.44,,,
Louisiana,8/19/2000,"3,045",8/12/2000,"25,654","1,811,740",1.42,,,
