State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Maine,1/1/2000,"2,264",12/25/1999,"10,022","548,896",1.83,,,
Maine,1/8/2000,"2,410",1/1/2000,"11,598","552,328",2.1,,,
Maine,1/15/2000,"2,638",1/8/2000,"14,008","552,328",2.54,,,
Maine,1/22/2000,"2,013",1/15/2000,"12,373","552,328",2.24,,,
Maine,1/29/2000,"1,650",1/22/2000,"14,166","552,328",2.56,,,
Maine,2/5/2000,"1,561",1/29/2000,"14,378","552,328",2.6,,,
Maine,2/12/2000,"1,394",2/5/2000,"14,496","552,328",2.62,,,
Maine,2/19/2000,"1,177",2/12/2000,"13,790","552,328",2.5,,,
Maine,2/26/2000,"1,291",2/19/2000,"12,859","552,328",2.33,,,
Maine,3/4/2000,"1,174",2/26/2000,"13,768","552,328",2.49,,,
Maine,3/11/2000,"1,181",3/4/2000,"13,142","552,328",2.38,,,
Maine,3/18/2000,"1,233",3/11/2000,"12,811","552,328",2.32,,,
Maine,3/25/2000,"1,595",3/18/2000,"12,255","552,328",2.22,,,
Maine,4/1/2000,"1,551",3/25/2000,"12,728","552,328",2.3,,,
Maine,4/8/2000,"1,225",4/1/2000,"10,959","556,296",1.97,,,
Maine,4/15/2000,"1,176",4/8/2000,"11,037","556,296",1.98,,,
Maine,4/22/2000,"1,234",4/15/2000,"10,300","556,296",1.85,,,
Maine,4/29/2000,"1,280",4/22/2000,"10,844","556,296",1.95,,,
Maine,5/6/2000,904,4/29/2000,"8,890","556,296",1.6,,,
Maine,5/13/2000,901,5/6/2000,"8,656","556,296",1.56,,,
Maine,5/20/2000,898,5/13/2000,"7,875","556,296",1.42,,,
Maine,5/27/2000,996,5/20/2000,"7,436","556,296",1.34,,,
Maine,6/3/2000,829,5/27/2000,"6,656","556,296",1.2,,,
Maine,6/10/2000,"1,002",6/3/2000,"7,262","556,296",1.31,,,
Maine,6/17/2000,910,6/10/2000,"6,832","556,296",1.23,,,
Maine,6/24/2000,"1,020",6/17/2000,"6,495","556,296",1.17,,,
Maine,7/1/2000,"1,113",6/24/2000,"6,585","556,296",1.18,,,
Maine,7/8/2000,831,7/1/2000,"5,183","560,369",0.92,,,
Maine,7/15/2000,"1,159",7/8/2000,"7,090","560,369",1.27,,,
Maine,7/22/2000,"1,054",7/15/2000,"7,071","560,369",1.26,,,
Maine,7/29/2000,"1,014",7/22/2000,"6,791","560,369",1.21,,,
Maine,8/5/2000,"1,151",7/29/2000,"6,712","560,369",1.2,,,
Maine,8/12/2000,"1,065",8/5/2000,"6,357","560,369",1.13,,,
Maine,8/19/2000,"1,301",8/12/2000,"6,296","560,369",1.12,,,
Maine,8/26/2000,816,8/19/2000,"6,402","560,369",1.14,,,
Maine,9/2/2000,"1,258",8/26/2000,"6,203","560,369",1.11,,,
Maine,9/9/2000,"1,775",9/2/2000,"5,187","560,369",0.93,,,
Maine,9/16/2000,"1,415",9/9/2000,"6,916","560,369",1.23,,,
Maine,9/23/2000,902,9/16/2000,"6,899","560,369",1.23,,,
Maine,9/30/2000,889,9/23/2000,"6,151","560,369",1.1,,,
Maine,10/7/2000,984,9/30/2000,"5,148","560,369",0.92,,,
Maine,10/14/2000,987,10/7/2000,"5,127","565,108",0.91,,,
Maine,10/21/2000,"1,175",10/14/2000,"5,739","565,108",1.02,,,
Maine,10/28/2000,"1,300",10/21/2000,"5,824","565,108",1.03,,,
Maine,11/4/2000,"1,577",10/28/2000,"5,905","565,108",1.04,,,
Maine,11/11/2000,"1,663",11/4/2000,"5,441","565,108",0.96,,,
Maine,11/18/2000,"1,457",11/11/2000,"6,877","565,108",1.22,,,
Maine,11/25/2000,"1,318",11/18/2000,"7,000","565,108",1.24,,,
Maine,12/2/2000,"1,704",11/25/2000,"8,625","565,108",1.53,,,
Maine,12/9/2000,"2,120",12/2/2000,"9,185","565,108",1.63,,,
Maine,12/16/2000,"1,970",12/9/2000,"9,513","565,108",1.68,,,
Maine,12/23/2000,"1,985",12/16/2000,"10,070","565,108",1.78,,,
Maine,12/30/2000,"2,549",12/23/2000,"10,996","565,108",1.95,,,
Maine,1/6/2001,"1,933",12/30/2000,"9,942","565,108",1.76,,,
Maine,1/13/2001,"2,875",1/6/2001,"14,273","569,763",2.51,,,
Maine,1/20/2001,"1,934",1/13/2001,"13,780","569,763",2.42,,,
Maine,1/27/2001,"1,895",1/20/2001,"14,778","569,763",2.59,,,
Maine,2/3/2001,"1,678",1/27/2001,"15,072","569,763",2.65,,,
Maine,2/10/2001,"1,612",2/3/2001,"14,398","569,763",2.53,,,
Maine,2/17/2001,"1,460",2/10/2001,"14,782","569,763",2.59,,,
Maine,2/24/2001,"1,255",2/17/2001,"14,191","569,763",2.49,,,
Maine,3/3/2001,"1,396",2/24/2001,"14,725","569,763",2.58,,,
Maine,3/10/2001,"1,138",3/3/2001,"13,604","569,763",2.39,,,
Maine,3/17/2001,"1,396",3/10/2001,"14,217","569,763",2.5,,,
