State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Maryland,1/1/2000,"7,946",12/25/1999,"30,461","2,158,866",1.41,,,
Maryland,1/8/2000,"7,410",1/1/2000,"38,134","2,173,003",1.75,,,
Maryland,1/15/2000,"4,695",1/8/2000,"34,891","2,173,003",1.61,,,
Maryland,1/22/2000,"4,662",1/15/2000,"34,494","2,173,003",1.59,,,
Maryland,1/29/2000,"5,031",1/22/2000,"37,679","2,173,003",1.73,,,
Maryland,2/5/2000,"5,462",1/29/2000,"38,398","2,173,003",1.77,,,
Maryland,2/12/2000,"4,360",2/5/2000,"41,165","2,173,003",1.89,,,
Maryland,2/19/2000,"3,243",2/12/2000,"38,116","2,173,003",1.75,,,
Maryland,2/26/2000,"2,773",2/19/2000,"38,640","2,173,003",1.78,,,
Maryland,3/4/2000,"3,097",2/26/2000,"36,130","2,173,003",1.66,,,
Maryland,3/11/2000,"2,775",3/4/2000,"36,167","2,173,003",1.66,,,
Maryland,3/18/2000,"2,845",3/11/2000,"33,394","2,173,003",1.54,,,
Maryland,3/25/2000,"3,004",3/18/2000,"32,912","2,173,003",1.51,,,
Maryland,4/1/2000,"2,683",3/25/2000,"30,756","2,173,003",1.42,,,
Maryland,4/8/2000,"3,620",4/1/2000,"31,001","2,186,979",1.42,,,
Maryland,4/15/2000,"2,783",4/8/2000,"29,323","2,186,979",1.34,,,
Maryland,4/22/2000,"3,253",4/15/2000,"27,900","2,186,979",1.28,,,
Maryland,4/29/2000,"2,769",4/22/2000,"28,941","2,186,979",1.32,,,
Maryland,5/6/2000,"2,765",4/29/2000,"27,153","2,186,979",1.24,,,
Maryland,5/13/2000,"2,546",5/6/2000,"26,565","2,186,979",1.21,,,
Maryland,5/20/2000,"2,978",5/13/2000,"25,485","2,186,979",1.17,,,
Maryland,5/27/2000,"3,103",5/20/2000,"25,757","2,186,979",1.18,,,
Maryland,6/3/2000,"2,535",5/27/2000,"25,250","2,186,979",1.15,,,
Maryland,6/10/2000,"2,985",6/3/2000,"25,277","2,186,979",1.16,,,
Maryland,6/17/2000,"3,468",6/10/2000,"25,204","2,186,979",1.15,,,
Maryland,6/24/2000,"4,058",6/17/2000,"25,578","2,186,979",1.17,,,
Maryland,7/1/2000,"2,554",6/24/2000,"24,975","2,186,979",1.14,,,
Maryland,7/8/2000,"5,199",7/1/2000,"25,329","2,203,150",1.15,,,
Maryland,7/15/2000,"3,504",7/8/2000,"29,656","2,203,150",1.35,,,
Maryland,7/22/2000,"3,295",7/15/2000,"25,704","2,203,150",1.17,,,
Maryland,7/29/2000,"3,678",7/22/2000,"29,033","2,203,150",1.32,,,
Maryland,8/5/2000,"3,031",7/29/2000,"26,506","2,203,150",1.2,,,
Maryland,8/12/2000,"3,287",8/5/2000,"28,190","2,203,150",1.28,,,
Maryland,8/19/2000,"2,885",8/12/2000,"26,757","2,203,150",1.21,,,
Maryland,8/26/2000,"2,583",8/19/2000,"27,807","2,203,150",1.26,,,
Maryland,9/2/2000,"2,878",8/26/2000,"25,449","2,203,150",1.16,,,
Maryland,9/9/2000,"2,495",9/2/2000,"26,237","2,203,150",1.19,,,
Maryland,9/16/2000,"2,724",9/9/2000,"23,941","2,203,150",1.09,,,
Maryland,9/23/2000,"2,536",9/16/2000,"24,403","2,203,150",1.11,,,
Maryland,9/30/2000,"2,449",9/23/2000,"22,735","2,203,150",1.03,,,
Maryland,10/7/2000,"4,339",9/30/2000,"23,841","2,203,150",1.08,,,
Maryland,10/14/2000,"3,066",10/7/2000,"23,675","2,218,916",1.07,,,
Maryland,10/21/2000,"3,135",10/14/2000,"23,758","2,218,916",1.07,,,
Maryland,10/28/2000,"3,077",10/21/2000,"23,715","2,218,916",1.07,,,
Maryland,11/4/2000,"3,840",10/28/2000,"24,030","2,218,916",1.08,,,
Maryland,11/11/2000,"2,887",11/4/2000,"24,290","2,218,916",1.09,,,
