State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Massachusetts,1/1/2000,"15,623",12/25/1999,"59,058","3,078,087",1.92,,,
Massachusetts,1/8/2000,"12,803",1/1/2000,"77,166","3,092,006",2.5,,,
Massachusetts,1/15/2000,"8,271",1/8/2000,"80,749","3,092,006",2.61,,,
Massachusetts,1/22/2000,"9,106",1/15/2000,"75,665","3,092,006",2.45,,,
Massachusetts,1/29/2000,"7,297",1/22/2000,"65,466","3,092,006",2.12,,,
Massachusetts,2/5/2000,"6,883",1/29/2000,"77,955","3,092,006",2.52,,,
Massachusetts,2/12/2000,"5,929",2/5/2000,"78,317","3,092,006",2.53,,,
Massachusetts,2/19/2000,"5,512",2/12/2000,"89,682","3,092,006",2.9,,,
Massachusetts,2/26/2000,"9,625",2/19/2000,"72,868","3,092,006",2.36,,,
Massachusetts,3/4/2000,"5,505",2/26/2000,"90,965","3,092,006",2.94,,,
Massachusetts,3/11/2000,"4,998",3/4/2000,"74,308","3,092,006",2.4,,,
Massachusetts,3/18/2000,"4,915",3/11/2000,"81,085","3,092,006",2.62,,,
Massachusetts,3/25/2000,"4,799",3/18/2000,"70,262","3,092,006",2.27,,,
Massachusetts,4/1/2000,"4,019",3/25/2000,"74,986","3,092,006",2.43,,,
Massachusetts,4/8/2000,"4,930",4/1/2000,"63,108","3,109,875",2.03,,,
Massachusetts,4/15/2000,"4,282",4/8/2000,"64,935","3,109,875",2.09,,,
Massachusetts,4/22/2000,"9,544",4/15/2000,"56,013","3,109,875",1.8,,,
Massachusetts,4/29/2000,"4,631",4/22/2000,"62,827","3,109,875",2.02,,,
Massachusetts,5/6/2000,"4,726",4/29/2000,"54,734","3,109,875",1.76,,,
Massachusetts,5/13/2000,"4,172",5/6/2000,"53,729","3,109,875",1.73,,,
Massachusetts,5/20/2000,"4,580",5/13/2000,"50,476","3,109,875",1.62,,,
Massachusetts,5/27/2000,"4,586",5/20/2000,"50,569","3,109,875",1.63,,,
