State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Michigan,1/1/2000,"26,925",12/25/1999,"91,889","4,330,776",2.12,,,
Michigan,1/8/2000,"38,913",1/1/2000,"113,042","4,331,919",2.61,,,
Michigan,1/15/2000,"21,285",1/8/2000,"142,624","4,331,919",3.29,,,
Michigan,1/22/2000,"11,809",1/15/2000,"116,733","4,331,919",2.69,,,
Michigan,1/29/2000,"12,699",1/22/2000,"110,276","4,331,919",2.55,,,
Michigan,2/5/2000,"12,030",1/29/2000,"112,772","4,331,919",2.6,,,
Michigan,2/12/2000,"10,612",2/5/2000,"112,120","4,331,919",2.59,,,
Michigan,2/19/2000,"9,524",2/12/2000,"113,985","4,331,919",2.63,,,
Michigan,2/26/2000,"7,258",2/19/2000,"108,897","4,331,919",2.51,,,
Michigan,3/4/2000,"11,585",2/26/2000,"115,170","4,331,919",2.66,,,
Michigan,3/11/2000,"8,568",3/4/2000,"109,510","4,331,919",2.53,,,
Michigan,3/18/2000,"7,953",3/11/2000,"108,479","4,331,919",2.5,,,
Michigan,3/25/2000,"8,306",3/18/2000,"101,302","4,331,919",2.34,,,
Michigan,4/1/2000,"7,433",3/25/2000,"98,876","4,331,919",2.28,,,
Michigan,4/8/2000,"9,497",4/1/2000,"90,592","4,348,108",2.08,,,
Michigan,4/15/2000,"8,999",4/8/2000,"85,800","4,348,108",1.97,,,
Michigan,4/22/2000,"7,081",4/15/2000,"80,237","4,348,108",1.85,,,
Michigan,4/29/2000,"6,449",4/22/2000,"74,445","4,348,108",1.71,,,
Michigan,5/6/2000,"7,786",4/29/2000,"65,498","4,348,108",1.51,,,
Michigan,5/13/2000,"6,684",5/6/2000,"61,584","4,348,108",1.42,,,
Michigan,5/20/2000,"7,175",5/13/2000,"59,113","4,348,108",1.36,,,
Michigan,5/27/2000,"8,582",5/20/2000,"56,659","4,348,108",1.3,,,
