State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Minnesota,1/1/2000,"7,536",12/25/1999,"38,582","2,472,281",1.56,,,
Minnesota,1/8/2000,"9,555",1/1/2000,"48,702","2,486,130",1.96,,,
Minnesota,1/15/2000,"6,336",1/8/2000,"42,711","2,486,130",1.72,,,
Minnesota,1/22/2000,"4,662",1/15/2000,"55,641","2,486,130",2.24,,,
Minnesota,1/29/2000,"4,415",1/22/2000,"42,705","2,486,130",1.72,,,
Minnesota,2/5/2000,"4,472",1/29/2000,"56,061","2,486,130",2.25,,,
Minnesota,2/12/2000,"3,810",2/5/2000,"43,018","2,486,130",1.73,,,
Minnesota,2/19/2000,"3,811",2/12/2000,"55,717","2,486,130",2.24,,,
Minnesota,2/26/2000,"3,252",2/19/2000,"42,873","2,486,130",1.72,,,
Minnesota,3/4/2000,"4,117",2/26/2000,"54,848","2,486,130",2.21,,,
Minnesota,3/11/2000,"3,765",3/4/2000,"41,744","2,486,130",1.68,,,
Minnesota,3/18/2000,"3,709",3/11/2000,"53,055","2,486,130",2.13,,,
Minnesota,3/25/2000,"3,217",3/18/2000,"39,860","2,486,130",1.6,,,
Minnesota,4/1/2000,"3,151",3/25/2000,"48,243","2,486,130",1.94,,,
Minnesota,4/8/2000,"3,349",4/1/2000,"35,549","2,499,217",1.42,,,
Minnesota,4/15/2000,"3,058",4/8/2000,"39,797","2,499,217",1.59,,,
Minnesota,4/22/2000,"3,222",4/15/2000,"30,756","2,499,217",1.23,,,
Minnesota,4/29/2000,"2,726",4/22/2000,"32,133","2,499,217",1.29,,,
Minnesota,5/6/2000,"2,770",4/29/2000,"26,569","2,499,217",1.06,,,
Minnesota,5/13/2000,"2,660",5/6/2000,"24,325","2,499,217",0.97,,,
Minnesota,5/20/2000,"2,783",5/13/2000,"22,787","2,499,217",0.91,,,
Minnesota,5/27/2000,"2,993",5/20/2000,"21,308","2,499,217",0.85,,,
Minnesota,6/3/2000,"3,088",5/27/2000,"21,675","2,499,217",0.87,,,
Minnesota,6/10/2000,"3,708",6/3/2000,"21,638","2,499,217",0.87,,,
Minnesota,6/17/2000,"3,064",6/10/2000,"22,358","2,499,217",0.89,,,
Minnesota,6/24/2000,"3,102",6/17/2000,"22,309","2,499,217",0.89,,,
Minnesota,7/1/2000,"2,907",6/24/2000,"23,161","2,499,217",0.93,,,
Minnesota,7/8/2000,"4,031",7/1/2000,"21,941","2,515,187",0.87,,,
Minnesota,7/15/2000,"3,473",7/8/2000,"23,766","2,515,187",0.94,,,
Minnesota,7/22/2000,"2,723",7/15/2000,"24,609","2,515,187",0.98,,,
Minnesota,7/29/2000,"2,425",7/22/2000,"23,438","2,515,187",0.93,,,
Minnesota,8/5/2000,"2,652",7/29/2000,"22,980","2,515,187",0.91,,,
Minnesota,8/12/2000,"2,719",8/5/2000,"22,806","2,515,187",0.91,,,
Minnesota,8/19/2000,"2,436",8/12/2000,"23,089","2,515,187",0.92,,,
Minnesota,8/26/2000,"2,216",8/19/2000,"22,750","2,515,187",0.9,,,
Minnesota,9/2/2000,"3,976",8/26/2000,"22,079","2,515,187",0.88,,,
Minnesota,9/9/2000,"2,327",9/2/2000,"20,590","2,515,187",0.82,,,
Minnesota,9/16/2000,"2,366",9/9/2000,"23,096","2,515,187",0.92,,,
Minnesota,9/23/2000,"2,157",9/16/2000,"19,391","2,515,187",0.77,,,
Minnesota,9/30/2000,"2,298",9/23/2000,"19,641","2,515,187",0.78,,,
Minnesota,10/7/2000,"2,645",9/30/2000,"18,106","2,515,187",0.72,,,
Minnesota,10/14/2000,"2,694",10/7/2000,"18,176","2,532,770",0.72,,,
Minnesota,10/21/2000,"3,107",10/14/2000,"19,183","2,532,770",0.76,,,
Minnesota,10/28/2000,"3,712",10/21/2000,"19,131","2,532,770",0.76,,,
Minnesota,11/4/2000,"4,417",10/28/2000,"20,455","2,532,770",0.81,,,
Minnesota,11/11/2000,"6,512",11/4/2000,"20,825","2,532,770",0.82,,,
Minnesota,11/18/2000,"8,676",11/11/2000,"25,780","2,532,770",1.02,,,
Minnesota,11/25/2000,"7,029",11/18/2000,"28,112","2,532,770",1.11,,,
Minnesota,12/2/2000,"7,118",11/25/2000,"34,512","2,532,770",1.36,,,
Minnesota,12/9/2000,"7,232",12/2/2000,"36,502","2,532,770",1.44,,,
