State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Mississippi,1/1/2000,"3,528",12/25/1999,"21,336","1,096,036",1.95,,,
Mississippi,1/8/2000,"5,721",1/1/2000,"24,852","1,102,889",2.25,,,
Mississippi,1/15/2000,"5,138",1/8/2000,"23,357","1,102,889",2.12,,,
Mississippi,1/22/2000,"3,278",1/15/2000,"21,441","1,102,889",1.94,,,
Mississippi,1/29/2000,"2,816",1/22/2000,"21,435","1,102,889",1.94,,,
Mississippi,2/5/2000,"2,754",1/29/2000,"20,899","1,102,889",1.89,,,
Mississippi,2/12/2000,"2,260",2/5/2000,"20,858","1,102,889",1.89,,,
Mississippi,2/19/2000,"2,133",2/12/2000,"20,304","1,102,889",1.84,,,
Mississippi,2/26/2000,"2,215",2/19/2000,"19,700","1,102,889",1.79,,,
Mississippi,3/4/2000,"2,589",2/26/2000,"19,581","1,102,889",1.78,,,
Mississippi,3/11/2000,"2,344",3/4/2000,"18,648","1,102,889",1.69,,,
Mississippi,3/18/2000,"2,335",3/11/2000,"18,550","1,102,889",1.68,,,
Mississippi,3/25/2000,"2,134",3/18/2000,"17,815","1,102,889",1.62,,,
Mississippi,4/1/2000,"2,174",3/25/2000,"17,628","1,102,889",1.6,,,
Mississippi,4/8/2000,"3,152",4/1/2000,"17,552","1,109,377",1.58,,,
Mississippi,4/15/2000,"2,208",4/8/2000,"17,209","1,109,377",1.55,,,
Mississippi,4/22/2000,"2,007",4/15/2000,"16,476","1,109,377",1.49,,,
Mississippi,4/29/2000,"2,041",4/22/2000,"16,369","1,109,377",1.48,,,
Mississippi,5/6/2000,"2,197",4/29/2000,"15,692","1,109,377",1.41,,,
Mississippi,5/13/2000,"2,469",5/6/2000,"15,676","1,109,377",1.41,,,
Mississippi,5/20/2000,"4,178",5/13/2000,"15,744","1,109,377",1.42,,,
Mississippi,5/27/2000,"3,814",5/20/2000,"17,154","1,109,377",1.55,,,
Mississippi,6/3/2000,"3,288",5/27/2000,"18,991","1,109,377",1.71,,,
Mississippi,6/10/2000,"3,088",6/3/2000,"20,299","1,109,377",1.83,,,
Mississippi,6/17/2000,"2,793",6/10/2000,"20,089","1,109,377",1.81,,,
Mississippi,6/24/2000,"2,731",6/17/2000,"20,050","1,109,377",1.81,,,
Mississippi,7/1/2000,"2,710",6/24/2000,"20,458","1,109,377",1.84,,,
Mississippi,7/8/2000,"3,421",7/1/2000,"23,665","1,113,094",2.13,,,
Mississippi,7/15/2000,"3,698",7/8/2000,"23,225","1,113,094",2.09,,,
Mississippi,7/22/2000,"3,426",7/15/2000,"23,009","1,113,094",2.07,,,
Mississippi,7/29/2000,"2,407",7/22/2000,"21,573","1,113,094",1.94,,,
Mississippi,8/5/2000,"2,649",7/29/2000,"21,527","1,113,094",1.93,,,
Mississippi,8/12/2000,"3,095",8/5/2000,"21,848","1,113,094",1.96,,,
Mississippi,8/19/2000,"2,795",8/12/2000,"20,964","1,113,094",1.88,,,
