State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Missouri,1/1/2000,"10,649",12/25/1999,"47,244","2,558,583",1.85,,,
Missouri,1/8/2000,"13,511",1/1/2000,"59,180","2,567,623",2.3,,,
Missouri,1/15/2000,"9,234",1/8/2000,"56,475","2,567,623",2.2,,,
Missouri,1/22/2000,"6,248",1/15/2000,"50,734","2,567,623",1.98,,,
Missouri,1/29/2000,"8,162",1/22/2000,"54,000","2,567,623",2.1,,,
Missouri,2/5/2000,"7,776",1/29/2000,"54,563","2,567,623",2.13,,,
Missouri,2/12/2000,"4,750",2/5/2000,"52,510","2,567,623",2.05,,,
Missouri,2/19/2000,"6,791",2/12/2000,"59,741","2,567,623",2.33,,,
Missouri,2/26/2000,"4,849",2/19/2000,"51,185","2,567,623",1.99,,,
Missouri,3/4/2000,"5,544",2/26/2000,"54,234","2,567,623",2.11,,,
Missouri,3/11/2000,"5,010",3/4/2000,"50,271","2,567,623",1.96,,,
Missouri,3/18/2000,"4,886",3/11/2000,"47,404","2,567,623",1.85,,,
Missouri,3/25/2000,"4,965",3/18/2000,"46,045","2,567,623",1.79,,,
Missouri,4/1/2000,"5,429",3/25/2000,"43,592","2,567,623",1.7,,,
Missouri,4/8/2000,"5,982",4/1/2000,"42,526","2,578,399",1.65,,,
Missouri,4/15/2000,"4,422",4/8/2000,"39,645","2,578,399",1.54,,,
Missouri,4/22/2000,"4,360",4/15/2000,"36,855","2,578,399",1.43,,,
Missouri,4/29/2000,"4,712",4/22/2000,"37,654","2,578,399",1.46,,,
Missouri,5/6/2000,"4,612",4/29/2000,"36,156","2,578,399",1.4,,,
Missouri,5/13/2000,"4,776",5/6/2000,"33,627","2,578,399",1.3,,,
Missouri,5/20/2000,"5,380",5/13/2000,"35,907","2,578,399",1.39,,,
Missouri,5/27/2000,"5,586",5/20/2000,"35,053","2,578,399",1.36,,,
Missouri,6/3/2000,"5,348",5/27/2000,"33,251","2,578,399",1.29,,,
Missouri,6/10/2000,"6,701",6/3/2000,"38,935","2,578,399",1.51,,,
Missouri,6/17/2000,"5,578",6/10/2000,"38,097","2,578,399",1.48,,,
Missouri,6/24/2000,"5,311",6/17/2000,"39,727","2,578,399",1.54,,,
Missouri,7/1/2000,"5,901",6/24/2000,"39,955","2,578,399",1.55,,,
Missouri,7/8/2000,"8,808",7/1/2000,"38,489","2,589,341",1.49,,,
Missouri,7/15/2000,"7,595",7/8/2000,"46,415","2,589,341",1.79,,,
Missouri,7/22/2000,"6,902",7/15/2000,"46,614","2,589,341",1.8,,,
Missouri,7/29/2000,"5,014",7/22/2000,"43,798","2,589,341",1.69,,,
Missouri,8/5/2000,"5,238",7/29/2000,"41,760","2,589,341",1.61,,,
Missouri,8/12/2000,"9,209",8/5/2000,"41,927","2,589,341",1.62,,,
Missouri,8/19/2000,"4,570",8/12/2000,"44,598","2,589,341",1.72,,,
Missouri,8/26/2000,"4,964",8/19/2000,"46,600","2,589,341",1.8,,,
Missouri,9/2/2000,"4,925",8/26/2000,"44,377","2,589,341",1.71,,,
Missouri,9/9/2000,"6,202",9/2/2000,"39,236","2,589,341",1.52,,,
Missouri,9/16/2000,"4,483",9/9/2000,"41,093","2,589,341",1.59,,,
Missouri,9/23/2000,"4,683",9/16/2000,"41,776","2,589,341",1.61,,,
Missouri,9/30/2000,"4,469",9/23/2000,"37,794","2,589,341",1.46,,,
Missouri,10/7/2000,"5,479",9/30/2000,"34,277","2,589,341",1.32,,,
Missouri,10/14/2000,"4,613",10/7/2000,"31,906","2,600,159",1.23,,,
Missouri,10/21/2000,"4,216",10/14/2000,"34,897","2,600,159",1.34,,,
Missouri,10/28/2000,"5,302",10/21/2000,"33,668","2,600,159",1.29,,,
Missouri,11/4/2000,"6,269",10/28/2000,"35,867","2,600,159",1.38,,,
Missouri,11/11/2000,"7,256",11/4/2000,"35,502","2,600,159",1.37,,,
Missouri,11/18/2000,"8,678",11/11/2000,"41,391","2,600,159",1.59,,,
Missouri,11/25/2000,"4,665",11/18/2000,"37,645","2,600,159",1.45,,,
Missouri,12/2/2000,"9,664",11/25/2000,"41,980","2,600,159",1.61,,,
Missouri,12/9/2000,"9,327",12/2/2000,"43,018","2,600,159",1.65,,,
Missouri,12/16/2000,"11,976",12/9/2000,"42,932","2,600,159",1.65,,,
Missouri,12/23/2000,"21,390",12/16/2000,"50,811","2,600,159",1.95,,,
Missouri,12/30/2000,"14,185",12/23/2000,"58,484","2,600,159",2.25,,,
Missouri,1/6/2001,"12,796",12/30/2000,"77,591","2,600,159",2.98,,,
Missouri,1/13/2001,"11,348",1/6/2001,"75,805","2,608,507",2.91,,,
Missouri,1/20/2001,"8,257",1/13/2001,"68,760","2,608,507",2.64,,,
Missouri,1/27/2001,"8,367",1/20/2001,"67,999","2,608,507",2.61,,,
Missouri,2/3/2001,"9,544",1/27/2001,"67,612","2,608,507",2.59,,,
Missouri,2/10/2001,"7,472",2/3/2001,"67,083","2,608,507",2.57,,,
Missouri,2/17/2001,"7,087",2/10/2001,"64,119","2,608,507",2.46,,,
Missouri,2/24/2001,"7,291",2/17/2001,"62,237","2,608,507",2.39,,,
Missouri,3/3/2001,"8,037",2/24/2001,"67,513","2,608,507",2.59,,,
Missouri,3/10/2001,"6,822",3/3/2001,"64,162","2,608,507",2.46,,,
Missouri,3/17/2001,"5,726",3/10/2001,"57,582","2,608,507",2.21,,,
Missouri,3/24/2001,"5,963",3/17/2001,"56,120","2,608,507",2.15,,,
