State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Montana,1/1/2000,"1,133",12/25/1999,"9,461","353,717",2.67,,,
Montana,1/8/2000,"2,614",1/1/2000,"10,401","355,921",2.92,,,
Montana,1/15/2000,"1,601",1/8/2000,"10,285","355,921",2.89,,,
Montana,1/22/2000,"1,001",1/15/2000,"12,620","355,921",3.55,,,
Montana,1/29/2000,"1,137",1/22/2000,"11,494","355,921",3.23,,,
Montana,2/5/2000,"1,131",1/29/2000,"12,607","355,921",3.54,,,
Montana,2/12/2000,904,2/5/2000,"11,329","355,921",3.18,,,
Montana,2/19/2000,974,2/12/2000,"12,682","355,921",3.56,,,
Montana,2/26/2000,797,2/19/2000,"10,999","355,921",3.09,,,
Montana,3/4/2000,898,2/26/2000,"12,707","355,921",3.57,,,
Montana,3/11/2000,920,3/4/2000,"10,671","355,921",3,,,
Montana,3/18/2000,811,3/11/2000,"11,853","355,921",3.33,,,
Montana,3/25/2000,743,3/18/2000,"9,942","355,921",2.79,,,
Montana,4/1/2000,641,3/25/2000,"10,586","355,921",2.97,,,
Montana,4/8/2000,"1,004",4/1/2000,"8,800","357,534",2.46,,,
Montana,4/15/2000,955,4/8/2000,"8,825","357,534",2.47,,,
Montana,4/22/2000,679,4/15/2000,"8,047","357,534",2.25,,,
Montana,4/29/2000,642,4/22/2000,"7,697","357,534",2.15,,,
Montana,5/6/2000,666,4/29/2000,"7,077","357,534",1.98,,,
Montana,5/13/2000,636,5/6/2000,"6,720","357,534",1.88,,,
Montana,5/20/2000,656,5/13/2000,"5,620","357,534",1.57,,,
Montana,5/27/2000,718,5/20/2000,"6,040","357,534",1.69,,,
Montana,6/3/2000,931,5/27/2000,"5,605","357,534",1.57,,,
Montana,6/10/2000,754,6/3/2000,"5,752","357,534",1.61,,,
Montana,6/17/2000,680,6/10/2000,"4,984","357,534",1.39,,,
Montana,6/24/2000,566,6/17/2000,"5,521","357,534",1.54,,,
Montana,7/1/2000,626,6/24/2000,"5,330","357,534",1.49,,,
Montana,7/8/2000,"1,284",7/1/2000,"5,146","357,859",1.44,,,
Montana,7/15/2000,896,7/8/2000,"5,367","357,859",1.5,,,
Montana,7/22/2000,589,7/15/2000,"5,769","357,859",1.61,,,
Montana,7/29/2000,535,7/22/2000,"5,438","357,859",1.52,,,
Montana,8/5/2000,613,7/29/2000,"5,626","357,859",1.57,,,
Montana,8/12/2000,666,8/5/2000,"5,342","357,859",1.49,,,
Montana,8/19/2000,748,8/12/2000,"5,529","357,859",1.55,,,
Montana,8/26/2000,729,8/19/2000,"5,301","357,859",1.48,,,
Montana,9/2/2000,"1,115",8/26/2000,"5,844","357,859",1.63,,,
Montana,9/9/2000,792,9/2/2000,"5,304","357,859",1.48,,,
Montana,9/16/2000,809,9/9/2000,"5,587","357,859",1.56,,,
Montana,9/23/2000,865,9/16/2000,"4,802","357,859",1.34,,,
Montana,9/30/2000,750,9/23/2000,"4,772","357,859",1.33,,,
Montana,10/7/2000,"1,152",9/30/2000,"4,851","357,859",1.36,,,
Montana,10/14/2000,880,10/7/2000,"4,698","359,866",1.31,,,
Montana,10/21/2000,940,10/14/2000,"5,236","359,866",1.45,,,
Montana,10/28/2000,989,10/21/2000,"5,194","359,866",1.44,,,
Montana,11/4/2000,"1,196",10/28/2000,"5,764","359,866",1.6,,,
Montana,11/11/2000,"1,174",11/4/2000,"5,785","359,866",1.61,,,
Montana,11/18/2000,"1,829",11/11/2000,"6,979","359,866",1.94,,,
Montana,11/25/2000,"1,400",11/18/2000,"7,268","359,866",2.02,,,
Montana,12/2/2000,"1,328",11/25/2000,"9,209","359,866",2.56,,,
Montana,12/9/2000,"1,295",12/2/2000,"8,691","359,866",2.42,,,
Montana,12/16/2000,"1,996",12/9/2000,"9,568","359,866",2.66,,,
Montana,12/23/2000,"1,509",12/16/2000,"9,695","359,866",2.69,,,
Montana,12/30/2000,"1,557",12/23/2000,"10,891","359,866",3.03,,,
Montana,1/6/2001,"1,092",12/30/2000,"11,218","359,866",3.12,,,
Montana,1/13/2001,"2,384",1/6/2001,"13,016","361,649",3.6,,,
Montana,1/20/2001,"1,386",1/13/2001,"10,425","361,649",2.88,,,
Montana,1/27/2001,"1,226",1/20/2001,"14,114","361,649",3.9,,,
Montana,2/3/2001,"1,115",1/27/2001,"11,142","361,649",3.08,,,
Montana,2/10/2001,"1,178",2/3/2001,"14,007","361,649",3.87,,,
Montana,2/17/2001,"1,070",2/10/2001,"11,288","361,649",3.12,,,
Montana,2/24/2001,990,2/17/2001,"13,329","361,649",3.69,,,
Montana,3/3/2001,"1,045",2/24/2001,"11,781","361,649",3.26,,,
Montana,3/10/2001,"1,017",3/3/2001,"13,955","361,649",3.86,,,
Montana,3/17/2001,"1,007",3/10/2001,"11,512","361,649",3.18,,,
Montana,3/24/2001,821,3/17/2001,"12,939","361,649",3.58,,,
Montana,3/31/2001,761,3/24/2001,"10,498","361,649",2.9,,,
Montana,4/7/2001,"1,095",3/31/2001,"11,071","361,649",3.06,,,
Montana,4/14/2001,920,4/7/2001,"10,187","363,341",2.8,,,
Montana,4/21/2001,852,4/14/2001,"11,105","363,341",3.06,,,
Montana,4/28/2001,630,4/21/2001,"8,548","363,341",2.35,,,
Montana,5/5/2001,872,4/28/2001,"9,829","363,341",2.71,,,
Montana,5/12/2001,763,5/5/2001,"7,591","363,341",2.09,,,
Montana,5/19/2001,749,5/12/2001,"9,120","363,341",2.51,,,
Montana,5/26/2001,702,5/19/2001,"7,122","363,341",1.96,,,
Montana,6/2/2001,828,5/26/2001,"7,587","363,341",2.09,,,
Montana,6/9/2001,944,6/2/2001,"6,558","363,341",1.8,,,
Montana,6/16/2001,"1,036",6/9/2001,"7,295","363,341",2.01,,,
Montana,6/23/2001,673,6/16/2001,"6,598","363,341",1.82,,,
Montana,6/30/2001,531,6/23/2001,"7,112","363,341",1.96,,,
Montana,7/7/2001,"1,294",6/30/2001,"6,394","363,341",1.76,,,
Montana,7/14/2001,757,7/7/2001,"6,999","365,890",1.91,,,
Montana,7/21/2001,609,7/14/2001,"6,505","365,890",1.78,,,
Montana,7/28/2001,543,7/21/2001,"6,154","365,890",1.68,,,
Montana,8/4/2001,716,7/28/2001,"6,730","365,890",1.84,,,
Montana,8/11/2001,695,8/4/2001,"6,578","365,890",1.8,,,
Montana,8/18/2001,714,8/11/2001,"6,632","365,890",1.81,,,
Montana,8/25/2001,549,8/18/2001,"6,261","365,890",1.71,,,
Montana,9/1/2001,579,8/25/2001,"6,246","365,890",1.71,,,
Montana,9/8/2001,681,9/1/2001,"5,568","365,890",1.52,,,
Montana,9/15/2001,662,9/8/2001,"5,469","365,890",1.49,,,
Montana,9/22/2001,704,9/15/2001,"5,358","365,890",1.46,,,
Montana,9/29/2001,773,9/22/2001,"5,262","365,890",1.44,,,
Montana,10/6/2001,825,9/29/2001,"4,754","365,890",1.3,,,
Montana,10/13/2001,"1,361",10/6/2001,"5,473","367,530",1.49,,,
Montana,10/20/2001,"1,259",10/13/2001,"5,515","367,530",1.5,,,
Montana,10/27/2001,"1,651",10/20/2001,"6,730","367,530",1.83,,,
Montana,11/3/2001,"1,543",10/27/2001,"6,516","367,530",1.77,,,
Montana,11/10/2001,"1,382",11/3/2001,"8,005","367,530",2.18,,,
Montana,11/17/2001,"1,260",11/10/2001,"7,782","367,530",2.12,,,
Montana,11/24/2001,"1,998",11/17/2001,"8,486","367,530",2.31,,,
Montana,12/1/2001,"2,204",11/24/2001,"9,038","367,530",2.46,,,
Montana,12/8/2001,"1,580",12/1/2001,"10,850","367,530",2.95,,,
Montana,12/15/2001,"1,523",12/8/2001,"12,180","367,530",3.31,,,
Montana,12/22/2001,"1,695",12/15/2001,"12,155","367,530",3.31,,,
Montana,12/29/2001,"1,873",12/22/2001,"10,188","367,530",2.77,,,
Montana,1/5/2002,"1,457",12/29/2001,"12,931","367,530",3.52,,,
Montana,1/12/2002,"2,823",1/5/2002,"14,634","368,902",3.97,,,
Montana,1/19/2002,"1,533",1/12/2002,"13,138","368,902",3.56,,,
Montana,1/26/2002,"1,170",1/19/2002,"15,436","368,902",4.18,,,
Montana,2/2/2002,"1,378",1/26/2002,"13,485","368,902",3.66,,,
Montana,2/9/2002,"1,199",2/2/2002,"15,726","368,902",4.26,,,
Montana,2/16/2002,967,2/9/2002,"13,716","368,902",3.72,,,
Montana,2/23/2002,"1,083",2/16/2002,"15,224","368,902",4.13,,,
Montana,3/2/2002,"1,348",2/23/2002,"13,230","368,902",3.59,,,
