State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Nebraska,1/1/2000,"2,069",12/25/1999,"8,861","854,117",1.04,,,
Nebraska,1/8/2000,"1,913",1/1/2000,"10,063","858,036",1.17,,,
Nebraska,1/15/2000,"1,121",1/8/2000,"9,649","858,036",1.12,,,
Nebraska,1/22/2000,"1,219",1/15/2000,"9,153","858,036",1.07,,,
Nebraska,1/29/2000,"1,208",1/22/2000,"9,450","858,036",1.1,,,
Nebraska,2/5/2000,"1,625",1/29/2000,"9,490","858,036",1.11,,,
Nebraska,2/12/2000,933,2/5/2000,"9,624","858,036",1.12,,,
Nebraska,2/19/2000,874,2/12/2000,"9,402","858,036",1.1,,,
Nebraska,2/26/2000,"1,016",2/19/2000,"9,355","858,036",1.09,,,
Nebraska,3/4/2000,984,2/26/2000,"9,361","858,036",1.09,,,
Nebraska,3/11/2000,980,3/4/2000,"9,084","858,036",1.06,,,
Nebraska,3/18/2000,788,3/11/2000,"8,790","858,036",1.02,,,
Nebraska,3/25/2000,849,3/18/2000,"8,121","858,036",0.95,,,
Nebraska,4/1/2000,790,3/25/2000,"7,851","858,036",0.91,,,
Nebraska,4/8/2000,786,4/1/2000,"7,218","861,866",0.84,,,
Nebraska,4/15/2000,700,4/8/2000,"6,795","861,866",0.79,,,
Nebraska,4/22/2000,861,4/15/2000,"6,353","861,866",0.74,,,
Nebraska,4/29/2000,610,4/22/2000,"6,229","861,866",0.72,,,
Nebraska,5/6/2000,932,4/29/2000,"5,886","861,866",0.68,,,
Nebraska,5/13/2000,873,5/6/2000,"5,821","861,866",0.68,,,
Nebraska,5/20/2000,847,5/13/2000,"5,800","861,866",0.67,,,
Nebraska,5/27/2000,873,5/20/2000,"5,904","861,866",0.69,,,
Nebraska,6/3/2000,"1,098",5/27/2000,"6,003","861,866",0.7,,,
Nebraska,6/10/2000,894,6/3/2000,"6,123","861,866",0.71,,,
Nebraska,6/17/2000,796,6/10/2000,"6,261","861,866",0.73,,,
Nebraska,6/24/2000,"1,030",6/17/2000,"6,327","861,866",0.73,,,
Nebraska,7/1/2000,"1,332",6/24/2000,"6,336","861,866",0.74,,,
Nebraska,7/8/2000,"1,118",7/1/2000,"6,720","866,040",0.78,,,
Nebraska,7/15/2000,"1,094",7/8/2000,"7,598","866,040",0.88,,,
Nebraska,7/22/2000,"1,050",7/15/2000,"7,003","866,040",0.81,,,
Nebraska,7/29/2000,786,7/22/2000,"7,034","866,040",0.81,,,
Nebraska,8/5/2000,"1,160",7/29/2000,"6,968","866,040",0.8,,,
Nebraska,8/12/2000,764,8/5/2000,"6,965","866,040",0.8,,,
Nebraska,8/19/2000,708,8/12/2000,"6,803","866,040",0.79,,,
Nebraska,8/26/2000,901,8/19/2000,"6,297","866,040",0.73,,,
Nebraska,9/2/2000,"1,048",8/26/2000,"5,957","866,040",0.69,,,
Nebraska,9/9/2000,744,9/2/2000,"5,654","866,040",0.65,,,
Nebraska,9/16/2000,734,9/9/2000,"5,774","866,040",0.67,,,
Nebraska,9/23/2000,689,9/16/2000,"5,520","866,040",0.64,,,
Nebraska,9/30/2000,699,9/23/2000,"5,413","866,040",0.63,,,
Nebraska,10/7/2000,"1,162",9/30/2000,"5,366","870,578",0.62,,,
Nebraska,10/14/2000,822,10/7/2000,"5,474","870,578",0.63,,,
Nebraska,10/21/2000,946,10/14/2000,"5,947","870,578",0.68,,,
Nebraska,10/28/2000,951,10/21/2000,"5,864","870,578",0.67,,,
Nebraska,11/4/2000,"1,136",10/28/2000,"5,904","870,578",0.68,,,
Nebraska,11/11/2000,"1,303",11/4/2000,"5,926","870,578",0.68,,,
Nebraska,11/18/2000,"2,667",11/11/2000,"6,853","870,578",0.79,,,
Nebraska,11/25/2000,"1,020",11/18/2000,"8,069","870,578",0.93,,,
Nebraska,12/2/2000,"1,473",11/25/2000,"8,459","870,578",0.97,,,
Nebraska,12/9/2000,"1,475",12/2/2000,"7,968","870,578",0.92,,,
Nebraska,12/16/2000,"2,459",12/9/2000,"8,354","870,578",0.96,,,
Nebraska,12/23/2000,"2,957",12/16/2000,"9,732","870,578",1.12,,,
Nebraska,12/30/2000,"1,764",12/23/2000,"10,652","870,578",1.22,,,
Nebraska,1/6/2001,"1,524",12/30/2000,"12,575","870,578",1.44,,,
Nebraska,1/13/2001,"2,079",1/6/2001,"10,973","875,919",1.25,,,
Nebraska,1/20/2001,"1,739",1/13/2001,"11,525","875,919",1.32,,,
Nebraska,1/27/2001,"1,630",1/20/2001,"12,104","875,919",1.38,,,
Nebraska,2/3/2001,"1,870",1/27/2001,"12,166","875,919",1.39,,,
Nebraska,2/10/2001,"1,509",2/3/2001,"12,247","875,919",1.4,,,
Nebraska,2/17/2001,"1,396",2/10/2001,"12,184","875,919",1.39,,,
Nebraska,2/24/2001,"1,661",2/17/2001,"12,456","875,919",1.42,,,
Nebraska,3/3/2001,"1,681",2/24/2001,"12,424","875,919",1.42,,,
Nebraska,3/10/2001,"1,141",3/3/2001,"12,363","875,919",1.41,,,
Nebraska,3/17/2001,"1,274",3/10/2001,"11,930","875,919",1.36,,,
Nebraska,3/24/2001,"1,152",3/17/2001,"11,916","875,919",1.36,,,
Nebraska,3/31/2001,994,3/24/2001,"11,008","875,919",1.26,,,
Nebraska,4/7/2001,"1,493",3/31/2001,"10,329","875,919",1.18,,,
Nebraska,4/14/2001,"1,120",4/7/2001,"9,801","880,398",1.11,,,
Nebraska,4/21/2001,"1,262",4/14/2001,"9,655","880,398",1.1,,,
Nebraska,4/28/2001,936,4/21/2001,"9,195","880,398",1.04,,,
Nebraska,5/5/2001,"1,549",4/28/2001,"8,885","880,398",1.01,,,
Nebraska,5/12/2001,"1,246",5/5/2001,"8,850","880,398",1.01,,,
Nebraska,5/19/2001,"1,169",5/12/2001,"8,855","880,398",1.01,,,
Nebraska,5/26/2001,"1,693",5/19/2001,"8,706","880,398",0.99,,,
Nebraska,6/2/2001,"1,370",5/26/2001,"9,019","880,398",1.02,,,
Nebraska,6/9/2001,"1,419",6/2/2001,"9,731","880,398",1.11,,,
Nebraska,6/16/2001,"1,065",6/9/2001,"9,313","880,398",1.06,,,
Nebraska,6/23/2001,"1,204",6/16/2001,"9,514","880,398",1.08,,,
Nebraska,6/30/2001,"2,008",6/23/2001,"9,422","880,398",1.07,,,
Nebraska,7/7/2001,"1,810",6/30/2001,"10,123","880,398",1.15,,,
Nebraska,7/14/2001,"1,167",7/7/2001,"11,344","883,362",1.28,,,
Nebraska,7/21/2001,"1,031",7/14/2001,"10,144","883,362",1.15,,,
Nebraska,7/28/2001,"1,158",7/21/2001,"9,657","883,362",1.09,,,
Nebraska,8/4/2001,"1,857",7/28/2001,"9,653","883,362",1.09,,,
Nebraska,8/11/2001,980,8/4/2001,"9,610","883,362",1.09,,,
Nebraska,8/18/2001,989,8/11/2001,"9,712","883,362",1.1,,,
Nebraska,8/25/2001,932,8/18/2001,"9,337","883,362",1.06,,,
Nebraska,9/1/2001,"1,030",8/25/2001,"8,800","883,362",1,,,
Nebraska,9/8/2001,"1,080",9/1/2001,"8,469","883,362",0.96,,,
Nebraska,9/15/2001,"1,136",9/8/2001,"8,622","883,362",0.98,,,
Nebraska,9/22/2001,"1,159",9/15/2001,"8,418","883,362",0.95,,,
Nebraska,9/29/2001,"1,121",9/22/2001,"8,683","883,362",0.98,,,
Nebraska,10/6/2001,"1,411",9/29/2001,"8,739","883,362",0.99,,,
Nebraska,10/13/2001,"1,162",10/6/2001,"9,034","884,324",1.02,,,
Nebraska,10/20/2001,"1,486",10/13/2001,"9,071","884,324",1.03,,,
Nebraska,10/27/2001,"1,165",10/20/2001,"9,419","884,324",1.07,,,
Nebraska,11/3/2001,"1,746",10/27/2001,"9,268","884,324",1.05,,,
Nebraska,11/10/2001,"1,451",11/3/2001,"9,751","884,324",1.1,,,
Nebraska,11/17/2001,"1,589",11/10/2001,"9,799","884,324",1.11,,,
Nebraska,11/24/2001,"1,748",11/17/2001,"9,824","884,324",1.11,,,
