State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
North Carolina,1/1/2000,"20,061",12/25/1999,"61,081","3,676,941",1.66,,,
North Carolina,1/8/2000,"40,313",1/1/2000,"85,834","3,694,133",2.32,,,
North Carolina,1/15/2000,"28,247",1/8/2000,"76,026","3,694,133",2.06,,,
North Carolina,1/22/2000,"11,912",1/15/2000,"57,197","3,694,133",1.55,,,
North Carolina,1/29/2000,"11,061",1/22/2000,"53,596","3,694,133",1.45,,,
North Carolina,2/5/2000,"31,045",1/29/2000,"83,992","3,694,133",2.27,,,
North Carolina,2/12/2000,"29,777",2/5/2000,"90,289","3,694,133",2.44,,,
North Carolina,2/19/2000,"14,821",2/12/2000,"67,995","3,694,133",1.84,,,
North Carolina,2/26/2000,"12,399",2/19/2000,"59,929","3,694,133",1.62,,,
North Carolina,3/4/2000,"10,826",2/26/2000,"56,224","3,694,133",1.52,,,
North Carolina,3/11/2000,"10,546",3/4/2000,"53,428","3,694,133",1.45,,,
North Carolina,3/18/2000,"10,138",3/11/2000,"51,885","3,694,133",1.4,,,
North Carolina,3/25/2000,"10,884",3/18/2000,"50,411","3,694,133",1.36,,,
North Carolina,4/1/2000,"10,815",3/25/2000,"50,813","3,694,133",1.38,,,
North Carolina,4/8/2000,"9,287",4/1/2000,"47,741","3,712,776",1.29,,,
North Carolina,4/15/2000,"8,729",4/8/2000,"45,641","3,712,776",1.23,,,
North Carolina,4/22/2000,"6,721",4/15/2000,"42,381","3,712,776",1.14,,,
North Carolina,4/29/2000,"11,093",4/22/2000,"46,486","3,712,776",1.25,,,
North Carolina,5/6/2000,"11,440",4/29/2000,"45,721","3,712,776",1.23,,,
North Carolina,5/13/2000,"8,496",5/6/2000,"42,033","3,712,776",1.13,,,
North Carolina,5/20/2000,"8,207",5/13/2000,"41,234","3,712,776",1.11,,,
North Carolina,5/27/2000,"8,093",5/20/2000,"41,759","3,712,776",1.12,,,
North Carolina,6/3/2000,"9,993",5/27/2000,"43,859","3,712,776",1.18,,,
North Carolina,6/10/2000,"11,114",6/3/2000,"45,097","3,712,776",1.21,,,
North Carolina,6/17/2000,"10,240",6/10/2000,"43,567","3,712,776",1.17,,,
North Carolina,6/24/2000,"9,138",6/17/2000,"42,696","3,712,776",1.15,,,
North Carolina,7/1/2000,"9,018",6/24/2000,"42,254","3,712,776",1.14,,,
North Carolina,7/8/2000,"10,906",7/1/2000,"44,853","3,733,014",1.2,,,
North Carolina,7/15/2000,"27,952",7/8/2000,"63,009","3,733,014",1.69,,,
North Carolina,7/22/2000,"15,531",7/15/2000,"50,555","3,733,014",1.35,,,
North Carolina,7/29/2000,"14,139",7/22/2000,"49,744","3,733,014",1.33,,,
North Carolina,8/5/2000,"13,807",7/29/2000,"48,528","3,733,014",1.3,,,
North Carolina,8/12/2000,"11,315",8/5/2000,"47,526","3,733,014",1.27,,,
North Carolina,8/19/2000,"18,742",8/12/2000,"54,152","3,733,014",1.45,,,
North Carolina,8/26/2000,"10,409",8/19/2000,"45,174","3,733,014",1.21,,,
North Carolina,9/2/2000,"11,927",8/26/2000,"46,502","3,733,014",1.25,,,
North Carolina,9/9/2000,"11,932",9/2/2000,"46,311","3,733,014",1.24,,,
North Carolina,9/16/2000,"20,868",9/9/2000,"56,208","3,733,014",1.51,,,
North Carolina,9/23/2000,"12,306",9/16/2000,"49,034","3,733,014",1.31,,,
North Carolina,9/30/2000,"9,234",9/23/2000,"43,960","3,733,014",1.18,,,
North Carolina,10/7/2000,"18,077",9/30/2000,"52,415","3,750,404",1.4,,,
North Carolina,10/14/2000,"15,227",10/7/2000,"50,062","3,750,404",1.33,,,
North Carolina,10/21/2000,"16,170",10/14/2000,"52,209","3,750,404",1.39,,,
North Carolina,10/28/2000,"11,685",10/21/2000,"46,542","3,750,404",1.24,,,
North Carolina,11/4/2000,"16,022",10/28/2000,"51,970","3,750,404",1.39,,,
North Carolina,11/11/2000,"10,443",11/4/2000,"47,325","3,750,404",1.26,,,
North Carolina,11/18/2000,"13,521",11/11/2000,"51,977","3,750,404",1.39,,,
North Carolina,11/25/2000,"9,696",11/18/2000,"49,387","3,750,404",1.32,,,
North Carolina,12/2/2000,"38,327",11/25/2000,"80,157","3,750,404",2.14,,,
North Carolina,12/9/2000,"22,086",12/2/2000,"66,051","3,750,404",1.76,,,
