State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
North Dakota,1/1/2000,798,12/25/1999,"5,894","292,510",2.01,,,
North Dakota,1/8/2000,"1,823",1/1/2000,"6,001","293,815",2.04,,,
North Dakota,1/15/2000,906,1/8/2000,"7,229","293,815",2.46,,,
North Dakota,1/22/2000,571,1/15/2000,"7,409","293,815",2.52,,,
North Dakota,1/29/2000,574,1/22/2000,"7,554","293,815",2.57,,,
North Dakota,2/5/2000,516,1/29/2000,"7,036","293,815",2.39,,,
North Dakota,2/12/2000,460,2/5/2000,"7,109","293,815",2.42,,,
North Dakota,2/19/2000,499,2/12/2000,"6,955","293,815",2.37,,,
North Dakota,2/26/2000,615,2/19/2000,"6,955","293,815",2.37,,,
North Dakota,3/4/2000,549,2/26/2000,"7,116","293,815",2.42,,,
North Dakota,3/11/2000,541,3/4/2000,"6,722","293,815",2.29,,,
North Dakota,3/18/2000,456,3/11/2000,"6,489","293,815",2.21,,,
North Dakota,3/25/2000,350,3/18/2000,"6,254","293,815",2.13,,,
North Dakota,4/1/2000,366,3/25/2000,"5,969","293,815",2.03,,,
North Dakota,4/8/2000,538,4/1/2000,"5,240","295,393",1.77,,,
North Dakota,4/15/2000,395,4/8/2000,"4,531","295,393",1.53,,,
North Dakota,4/22/2000,249,4/15/2000,"3,927","295,393",1.33,,,
North Dakota,4/29/2000,238,4/22/2000,"3,376","295,393",1.14,,,
North Dakota,5/6/2000,273,4/29/2000,"2,824","295,393",0.96,,,
North Dakota,5/13/2000,349,5/6/2000,"2,392","295,393",0.81,,,
North Dakota,5/20/2000,326,5/13/2000,"2,348","295,393",0.79,,,
North Dakota,5/27/2000,658,5/20/2000,"2,250","295,393",0.76,,,
North Dakota,6/3/2000,566,5/27/2000,"2,588","295,393",0.88,,,
North Dakota,6/10/2000,348,6/3/2000,"2,781","295,393",0.94,,,
North Dakota,6/17/2000,408,6/10/2000,"2,646","295,393",0.9,,,
North Dakota,6/24/2000,356,6/17/2000,"2,796","295,393",0.95,,,
North Dakota,7/1/2000,275,6/24/2000,"2,510","295,393",0.85,,,
North Dakota,7/8/2000,473,7/1/2000,"2,638","296,533",0.89,,,
North Dakota,7/15/2000,577,7/8/2000,"2,769","296,533",0.93,,,
North Dakota,7/22/2000,351,7/15/2000,"2,876","296,533",0.97,,,
North Dakota,7/29/2000,368,7/22/2000,"2,801","296,533",0.94,,,
North Dakota,8/5/2000,436,7/29/2000,"2,955","296,533",1,,,
North Dakota,8/12/2000,622,8/5/2000,"2,954","296,533",1,,,
North Dakota,8/19/2000,265,8/12/2000,"3,271","296,533",1.1,,,
North Dakota,8/26/2000,238,8/19/2000,"2,491","296,533",0.84,,,
North Dakota,9/2/2000,222,8/26/2000,"1,990","296,533",0.67,,,
North Dakota,9/9/2000,199,9/2/2000,"1,787","296,533",0.6,,,
North Dakota,9/16/2000,190,9/9/2000,"1,584","296,533",0.53,,,
North Dakota,9/23/2000,203,9/16/2000,"1,395","296,533",0.47,,,
North Dakota,9/30/2000,192,9/23/2000,"1,325","296,533",0.45,,,
North Dakota,10/7/2000,407,9/30/2000,"1,239","296,533",0.42,,,
North Dakota,10/14/2000,215,10/7/2000,"1,418","297,955",0.48,,,
North Dakota,10/21/2000,251,10/14/2000,"1,301","297,955",0.44,,,
North Dakota,10/28/2000,500,10/21/2000,"1,355","297,955",0.45,,,
North Dakota,11/4/2000,856,10/28/2000,"1,685","297,955",0.57,,,
North Dakota,11/11/2000,"1,037",11/4/2000,"2,116","297,955",0.71,,,
North Dakota,11/18/2000,"1,082",11/11/2000,"3,030","297,955",1.02,,,
North Dakota,11/25/2000,880,11/18/2000,"3,319","297,955",1.11,,,
North Dakota,12/2/2000,858,11/25/2000,"4,244","297,955",1.42,,,
North Dakota,12/9/2000,947,12/2/2000,"4,332","297,955",1.45,,,
North Dakota,12/16/2000,"1,188",12/9/2000,"4,958","297,955",1.66,,,
North Dakota,12/23/2000,"1,220",12/16/2000,"5,586","297,955",1.87,,,
North Dakota,12/30/2000,931,12/23/2000,"6,245","297,955",2.1,,,
North Dakota,1/6/2001,"1,009",12/30/2000,"6,736","297,955",2.26,,,
North Dakota,1/13/2001,"1,758",1/6/2001,"7,033","298,634",2.36,,,
North Dakota,1/20/2001,739,1/13/2001,"7,134","298,634",2.39,,,
North Dakota,1/27/2001,687,1/20/2001,"7,387","298,634",2.47,,,
North Dakota,2/3/2001,578,1/27/2001,"7,174","298,634",2.4,,,
North Dakota,2/10/2001,612,2/3/2001,"7,287","298,634",2.44,,,
North Dakota,2/17/2001,583,2/10/2001,"7,124","298,634",2.39,,,
North Dakota,2/24/2001,538,2/17/2001,"7,378","298,634",2.47,,,
North Dakota,3/3/2001,799,2/24/2001,"7,100","298,634",2.38,,,
North Dakota,3/10/2001,501,3/3/2001,"7,325","298,634",2.45,,,
North Dakota,3/17/2001,415,3/10/2001,"6,636","298,634",2.22,,,
North Dakota,3/24/2001,378,3/17/2001,"6,523","298,634",2.18,,,
North Dakota,3/31/2001,409,3/24/2001,"5,892","298,634",1.97,,,
North Dakota,4/7/2001,613,3/31/2001,"5,608","298,634",1.88,,,
North Dakota,4/14/2001,457,4/7/2001,"5,269","299,235",1.76,,,
North Dakota,4/21/2001,471,4/14/2001,"4,953","299,235",1.66,,,
North Dakota,4/28/2001,308,4/21/2001,"4,183","299,235",1.4,,,
North Dakota,5/5/2001,395,4/28/2001,"3,321","299,235",1.11,,,
North Dakota,5/12/2001,297,5/5/2001,"2,813","299,235",0.94,,,
North Dakota,5/19/2001,386,5/12/2001,"2,520","299,235",0.84,,,
North Dakota,5/26/2001,484,5/19/2001,"2,379","299,235",0.8,,,
North Dakota,6/2/2001,580,5/26/2001,"2,369","299,235",0.79,,,
North Dakota,6/9/2001,493,6/2/2001,"2,541","299,235",0.85,,,
North Dakota,6/16/2001,471,6/9/2001,"2,575","299,235",0.86,,,
North Dakota,6/23/2001,359,6/16/2001,"2,738","299,235",0.91,,,
North Dakota,6/30/2001,482,6/23/2001,"2,592","299,235",0.87,,,
North Dakota,7/7/2001,"1,460",6/30/2001,"2,646","299,235",0.88,,,
North Dakota,7/14/2001,481,7/7/2001,"3,741","299,528",1.25,,,
North Dakota,7/21/2001,646,7/14/2001,"2,770","299,528",0.92,,,
North Dakota,7/28/2001,369,7/21/2001,"2,902","299,528",0.97,,,
North Dakota,8/4/2001,414,7/28/2001,"2,815","299,528",0.94,,,
North Dakota,8/11/2001,439,8/4/2001,"2,855","299,528",0.95,,,
North Dakota,8/18/2001,417,8/11/2001,"2,907","299,528",0.97,,,
North Dakota,8/25/2001,253,8/18/2001,"2,599","299,528",0.87,,,
North Dakota,9/1/2001,"1,374",8/25/2001,"2,369","299,528",0.79,,,
